NameInIndex,UO_ID,Bio Name,BioSource,Biography,Citation,Region_final,Sex or gender V2,case,VisualCase,IndexLifeCode,DeathPrecision,DeathDate,BornPrecision,BirthDate,Alive precision,AliveDate,LifeLength Precision,LifeLength,aproxBirthDate,aproxDeathDate,Index Category 1,NameOnChart,OnChartCategory,On Chart: Line #,Section starting Line,LineNumber,FullTextPageNum,WikiLink
Aaron,1.0,Aaron,Watkins,"A learned rabbi, who wrote the Law of Truth, Venice, 1681, folio.",Moreri,,,case3,A,fl.,,,,,fl.,622.0,,,592.0,637.0,Ph,Aaron,Mathematicians &cc Physicians,3.0,69.0,72,32.0,
Abas,2.0,Abas,Crabb,"Son of Lynceus, or, according to some, of Belus, reigned 23 years over Argos, A.M. 2573, A.C. 1384. His descendants Proteus, Acrisius, &c. were called Abantiades.",,,male,case3,A,fl.,,,,,fl.,-1070.0,,,-1100.0,-1055.0,,Abas,Statesmen and Warriors,23.0,127.0,150,40.0,https://en.wikipedia.org/wiki/Abas_(son_of_Lynceus)
Abbas Shah,3.0,Abas (Schah),Watkins,"The Great, 7th king of Persia, ascended the throne in 1585. With the assistance of the English, in 1692, he took Ormus from the Portuguese. He died in 1629. He was the first who made Ispahan the capital of Persia.",,Persia,male,case1,C,d. (LL),d.,1628.0,,,,,,70.0,1558.0,1628.0,,Shah Abbas,Statesmen and Warriors,1.0,127.0,128,40.0,https://en.wikipedia.org/wiki/Abbas_the_Great
Abbo,4.0,Abbon (de Fleury),Watkins,"A learned Frenchman of the 11th century. He became abbot of the monastery of Fleury. King Robert sent him to Rome to avert the wrath of Gregory V., who threatened to lay the kingdom under an interdict, and Abbon obtained all that he asked. He was killed in a quarrel between the French and the Gascons, 1004. His letters were printed in 1687, folio.",Moreri,France,male,case2,D,d.,d.,1004.0,,,,,,,959.0,1004.0,D,Abbo,Divines and Metaphysicians &cc,15.0,99.0,114,40.0,https://en.wikipedia.org/wiki/Abbo_of_Fleury
Abbo Neustriae,5.0,Abbon,Watkins,"A Norman monk, who wrote an account of the siege of Paris by the Normans, at the end of the 9th century, in Latin verse.",Moreri,France,male,case3,A,fl.,,,,,fl.,892.0,,,862.0,907.0,P,Abbo N.,Artists Poets,11.0,43.0,54,40.0,https://en.wikipedia.org/wiki/Abbo_Cernuus
Abbot,6.0,Abbot (George),Watkins,"An English prelate, was born in 1562, at Guilford, in Surry, where his father was a weaver. He was educated at the grammar school of that place, from whence he was removed to Balliol college, Oxford, of which he became a fellow. In 1597, he was chosen master of University college. In 1599, he was made dean of Winchester, and the year following vicechancellor of Oxford, which office he filled in 1603, and also in 1605. He was One of the divines employed in the present translation of the Bible. In 1609, he was made bishop of Lichfield and Coventry, from whence, the same year, he was translated to London, and in 1610, to Canterbury. He had the courage to oppose the court on some occasions, particularly in the affair of the divorce of the lady Essex, and the Book of Sports, which he forbade being read at Crovdon. A sad misfortune happened to him at the close of his life: for being at the seat of lord Zouch, and exercising himself in the park with a cross bow, he by accident shot the keeper instead of the deer. A commission was appointed to examine whether by this irregularity he was incapacitated for discharging the office of primate; and the determination being left with the king, he gave it in favour of the archbishop. He ever after kept a monthly fast on account of the misfortune, and settled 20l. a year on the widow of the keeper. He attended king James on his death-bed, and assisted at the coronation of Charles I. In 1627, an assize sermon of Dr. Sibthorpe, preached at Northampton, was sent to the archbishop, with an order from the king to license it; which he refused to do, as it contained exceptionable passages. For this he was banished to his house near Canterbury, and the archlepiscopal authority was put into commission; but when the parliament met, he was restored to his office, but never fully recovered the royal favour. He died at Croydon in 1633, and was buried in the church of the Holy Trinity at Guilford, where he endowed an hospital. The archbishop was a rigid Calvinist and a great favourer of the Puritans. His writings are mostly polemical, except a geographical description of the world.",,Great Britain,male,case1,C,d. (LL),d.,1633.0,,,,,,71.0,1562.0,1633.0,D,Abbot,Divines and Metaphysicians &cc,16.0,99.0,115,40.0,https://en.wikipedia.org/wiki/George_Abbot_(bishop)
Abdalrahman,7.0,,,,,Persia,male,case2,D,d.,d.,708.0,,,,,,,663.0,708.0,,,,,,0,40.0,https://en.wikipedia.org/wiki/Abd_al-Rahman_I
Abdalrahman,8.0,,,,,Turky in Asia,male,case1,C,d. (LL),d.,987.0,,,,,,85.0,902.0,987.0,M,,,,,0,40.0,https://en.wikipedia.org/wiki/Abd_al-Rahman_I
Abelard,9.0,Abelard (Peter),Watkins,"Was born in 1079, at Palais, near Nantz, in Britany. He studied logic and metaphysics with such eagerness that he soon became a powerful disputant; and turning his talents against his old master Champeaux, professor of philosophy at Paris, obliged him to quit his chair and retire to a convent. Abelard then applied to the study of divinity, and in a short time became celebrated in that faculty. A wealthy canon, called Fulbert, took Abelard into his house on condition that he should teach his niece Heloise philosophy. Instead, however, of abstruse learning, he taught her love, and Abelard was so intoxicated with the passion that his lectures lost the charms, which used to attract the admiration of crowded audiences, and every body saw the reason of it except Fulbert, who at last, being convinced of the truth, turned Abelard out of doors. Heloise, on this, followed her lover, who conveyed her to his sister's house in Britany, where she was delivered of a son, named Astrolabius; and Abelard offered Fulbert to marry his niece, but it is astonishing, that though the uncle was pleased with the oiler, the lady refused it. She afterwards, indeed, consented to a private marriage, but never would own it, and indeed sometimes would not scruple to swear that it was not true. This added greater fury to the canon's rage; and Abelard sent her, in consequence, to the monastery of Argenteuil where she put on the religions habit, but not the veil. The enraged Fulbert caused Abelard to be emasculated by ruffians, who broke into his chamber; on which he turned monk in the abbey of St. Denis, which he soon left, and retired to Champaigns, where he became lecturer, and with great success. This raised him numerous enemies, particularly the professors at Rheims, who charged him with heterodoxy on the subject of the Trinity, and got him censured at the council of Soissons, in 1121. He afterwards erected an oratory in the diocese of Troyes, called the Paraclete, but was soon driven from it by his enemies. He next became abbot of Ruis, in the diocese of Vannes, and gave Heloise and some other nuns the Paraclete. In 1140, his works were condemned as heretical by a council; which decree was confirmed by the pope, who ordered Abelard to be confined; but at the request of Peter, abbot of Clugny, this sentence was mitigated. After a life of extraordinary vicissitudes, Abelard died in the priory of St. Marcellas, in 1142, and the corpse being sent to Heloise she deposited it in the Paraclete. The names of these lovers are eternized by the epistles published by Pope and other poets. Heloise died in 1103, and was buried in the Paraclete; and in 1780, the abbess, madame de Roncy, ordered the bones of the lovers to be placed in a leaden coffin and deposited under the altar. She also caused a monument of black marble to be placed over the spot. The works of Abelard were published at Paris in one volume, 4to. 1616.",,France,male,case1,C,d. (LL),d.,1143.0,,,,,,62.0,1081.0,1143.0,D,Abelard,Divines and Metaphysicians &cc,15.0,99.0,114,40.0,https://en.wikipedia.org/wiki/Abd_al-Rahman_al-Sufi
Abenezra,10.0,Abenezra (Abraham),Watkins,"Born at Toledo in 1099. Pie was skilled in various languages and sciences, and composed several works, the most valuable of which is his commentary on the Old Testament, printed in Buxtorf's Hebrew Bible. He died at Rhodes in 1174.",Moreri,Spain,male,case1,C,d. (LL),d.,1174.0,,,,,,75.0,1099.0,1174.0,J,Aben Ezra,Divines and Metaphysicians &cc,1.0,99.0,100,40.0,https://en.wikipedia.org/wiki/Abraham_ibn_Ezra
