NameInIndex,UO_ID,NameOnChart,case,VisualCase,OnChartCategory,On Chart: Line #,Index Category 1,reason
Abdalrahman,7.0,,case2,D,,,,No chart placement (On Chart: Line # is missing or zero)
Abdalrahman,8.0,,case1,C,,,M,No chart placement (On Chart: Line # is missing or zero)
Achmet,27.0,,case3,A,,,Cr,No chart placement (On Chart: Line # is missing or zero)
Aeacus,39.0,Aeacus,none,A,Statesmen and Warriors,22.0,,"Case missing or set to ""none"""
Aemilius,44.0,,case3,A,,,,No chart placement (On Chart: Line # is missing or zero)
"Aemilius, P.",45.0,,case2,D,,,,No chart placement (On Chart: Line # is missing or zero)
Aenotrus,49.0,Aenotrus,none,A,Statesmen and Warriors,26.0,,"Case missing or set to ""none"""
Aetius Amidenus,58.0,,case3,A,,,Ph,No chart placement (On Chart: Line # is missing or zero)
Aetolus,59.0,Aetolus,none,A,Statesmen and Warriors,27.0,,"Case missing or set to ""none"""
Alexander Severus,127.0,,case1,C,,,,No chart placement (On Chart: Line # is missing or zero)
Alliacus,139.0,,case2,D,,,D,No chart placement (On Chart: Line # is missing or zero)
Alredus,147.0,,case2,E,,,H,No chart placement (On Chart: Line # is missing or zero)
Anastasius Alexandrinus,169.0,,case1,C,,,Cr,No chart placement (On Chart: Line # is missing or zero)
Antinous,199.0,,case2,D,,,,No chart placement (On Chart: Line # is missing or zero)
Aristides Aelius,266.0,,case1,C,,,Cr,No chart placement (On Chart: Line # is missing or zero)
Artemidorus Ephesius,293.0,,case3,A,,,HP,No chart placement (On Chart: Line # is missing or zero)
Asclepiades,305.0,,case8,F,,,Ph,No chart placement (On Chart: Line # is missing or zero)
Boethius Hector,422.0,H. Boethius,none,N,Historians and Antiquaries Lawyers,6.0,H,"Case missing or set to ""none"""
Boniface,427.0,Boniface,none,A,Divines and Metaphysicians &cc,25.0,,"Case missing or set to ""none"""
Borgia Caesar,430.0,,case2,D,,,,No chart placement (On Chart: Line # is missing or zero)
Bouguer,433.0,Bouguer,none,A,Mathematicians &cc Physicians,24.0,,"Case missing or set to ""none"""
Caracalla,503.0,,case1,C,,,,No chart placement (On Chart: Line # is missing or zero)
Cauliaco,535.0,Cauliaco,none,A,Mathematicians &cc Physicians,7.0,,"Case missing or set to ""none"""
Ceres,547.0,,case3,A,,,,No chart placement (On Chart: Line # is missing or zero)
Cinnamus,593.0,,case8,F,,,H,No chart placement (On Chart: Line # is missing or zero)
Clotaire 2nd,615.0,,case1,C,,,,No chart placement (On Chart: Line # is missing or zero)
Conon,639.0,,case2,D,,,,No chart placement (On Chart: Line # is missing or zero)
Croesus,691.0,,case3,A,,,,No chart placement (On Chart: Line # is missing or zero)
Dionysius Exiguus,771.0,,case3,A,,,L,No chart placement (On Chart: Line # is missing or zero)
Domitian,787.0,,case1,C,,,,No chart placement (On Chart: Line # is missing or zero)
Edward Confessor,815.0,Edward Conf:,case1,C,Statesmen and Warriors,0.0,,No chart placement (On Chart: Line # is missing or zero)
Elfric,822.0,Elfric,none,A,Divines and Metaphysicians &cc,22.0,,"Case missing or set to ""none"""
Eustachius,880.0,Eustachius,none,A,Mathematicians &cc Physicians,6.0,,"Case missing or set to ""none"""
Favonius,907.0,,case3,A,,,F,No chart placement (On Chart: Line # is missing or zero)
"Frederic, 3rd",941.0,,case2,D,,,,No chart placement (On Chart: Line # is missing or zero)
"Frobisher, Martin",947.0,,case2,D,,,,No chart placement (On Chart: Line # is missing or zero)
Gallienus,961.0,,case1,C,,,,No chart placement (On Chart: Line # is missing or zero)
Gasper Barthius,969.0,,case1,C,,,Cr,No chart placement (On Chart: Line # is missing or zero)
Gilulfus,1001.0,,case2,D,,,,No chart placement (On Chart: Line # is missing or zero)
"Giraldus, Cambrensis",1003.0,Giraldus C.,none,,Historians and Antiquaries Lawyers,13.0,H,"Case missing or set to ""none"""
"Gothofredus, Arnold",1017.0,,case1,C,,,L,No chart placement (On Chart: Line # is missing or zero)
Gregory Neocaesariensis,1037.0,,case8,F,,,F,No chart placement (On Chart: Line # is missing or zero)
Harley,1091.0,,case1,C,,,,No chart placement (On Chart: Line # is missing or zero)
Hazael,1107.0,,case2,D,,,,No chart placement (On Chart: Line # is missing or zero)
