Alive precision,AliveDate,Alternate Link,Alternate_ID,Alternate_name,BirthDate,BornPrecision,DeathDate,DeathPrecision,FullTextPageNum,Index Category 1,LifeLength,LifeLength Precision,LineNumber,NameInIndex,NameOnChart,On Chart: Line #,OnChartCategory,Region_final,Section starting Line,Sex or gender V2,UO_ID,Watkins_ID,WikiLink,WikiLink in MM10?,aproxBirthDate,aproxDeathDate,case,continent,country,discrepancy
fl.,-1070.0,,27,Abas,,,,,40.0,,,,149.0,Abas,Abas,23.0,Statesmen and Warriors,0,126.0,male,2.0,,https://en.wikipedia.org/wiki/Abas_(son_of_Lynceus),https://en.wikipedia.org/wiki/Abas_(son_of_Lynceus),-1093.0,-1047.0,"case3
",0,0,O
,,,,Abbas I. (Shah) the Great,,,1628.0,d.,40.0,,70.0,,127.0,Abbas Shah,Shah Abbas,1.0,Statesmen and Warriors,Persia,126.0,male,3.0,20.0,https://en.wikipedia.org/wiki/Abbas_the_Great,https://en.wikipedia.org/wiki/Abbas_the_Great,1558.0,1628.0,case1,Asia,Afghanistan,
,,,,Abbo de Fleuri,,,1183.0,d.,40.0,D,,,113.0,Abbo,Abbo,15.0,Divines and Metaphysicians &cc,France,98.0,male,4.0,31.0,https://en.wikipedia.org/wiki/Abbo_of_Fleury,https://en.wikipedia.org/wiki/Abbo_of_Fleury,1138.0,1183.0,case2,Europe,France,YearCh
fl.,892.0,,,,,,,,40.0,P,,,53.0,Abbo Neustriae,Abbo N.,11.0,Artists Poets,France,42.0,male,5.0,30.0,https://en.wikipedia.org/wiki/Abbo_Cernuus,https://en.wikipedia.org/wiki/Abbo_Cernuus,869.0,915.0,"case3
",Europe|Europe|Europe,France|Jersey|Guernsey,
,,,,Abbot George,,,1633.0,d.,40.0,D,71.0,,114.0,Abbot,Abbot,16.0,Divines and Metaphysicians &cc,Great Britain,98.0,male,6.0,32.0,https://en.wikipedia.org/wiki/George_Abbot_(bishop),https://en.wikipedia.org/wiki/George_Abbot_(bishop),1562.0,1633.0,case1,Europe,United Kingdom,
,,,,"Abelard, Peter",,,1143.0,d.,40.0,D,62.0,,113.0,Abelard,Abelard,15.0,Divines and Metaphysicians &cc,France,98.0,male,9.0,54.0,https://en.wikipedia.org/wiki/Peter_Abelard,https://en.wikipedia.org/wiki/Peter_Abelard,1081.0,1143.0,case1,Europe,France,
,,,,"Aben-ezra, Abraham",,,1174.0,d.,40.0,J,75.0,,99.0,Abenezra,Aben Ezra,1.0,Divines and Metaphysicians &cc,Spain,98.0,male,10.0,57.0,https://en.wikipedia.org/wiki/Abraham_ibn_Ezra,https://en.wikipedia.org/wiki/Abraham_ibn_Ezra,1099.0,1174.0,case1,Europe,Spain,
fl.,-1048.0,https://en.wikipedia.org/wiki/Sanchuniathon,,,,,,,40.0,,,,133.0,Abibalus,Abibalus,7.0,Statesmen and Warriors,0,126.0,male,11.0,,https://en.wikipedia.org/wiki/Abibaal,0,-1071.0,-1025.0,"case3
",0,0,
,,,,Abijah,,,-955.0,d.,40.0,,,,137.0,Abijah,Abijah,11.0,Statesmen and Warriors,Turky in Asia,126.0,male,12.0,65.0,https://en.wikipedia.org/wiki/Abijah_of_Judah,https://en.wikipedia.org/wiki/Abijah_of_Judah,-1000.0,-955.0,case2,Asia,Israel,
,,,,"Abrabanel, Isaac",,,1508.0,d.,40.0,J,70.0,,102.0,Abrabinel,Abrabinel,4.0,Divines and Metaphysicians &cc,Portugal,98.0,male,13.0,74.0,https://en.wikipedia.org/wiki/Isaac_Abarbanel,https://en.wikipedia.org/wiki/Isaac_Abarbanel,1438.0,1508.0,case1,Europe,Portugal,
,,,,Abubeker,,,634.0,d.,40.0,,63.0,,131.0,Abu Bekr,Abubekr,5.0,Statesmen and Warriors,Arabia,126.0,male,14.0,83.0,https://en.wikipedia.org/wiki/Abu_Bakr,https://en.wikipedia.org/wiki/Abu_Bakr,571.0,634.0,case1,Asia,Saudi Arabia,
,,,,,,,843.0,d.,41.0,P,41.0,,47.0,Abu Temam,Abu Temam,5.0,Artists Poets,Turky in Asia,42.0,male,15.0,93.0,https://en.wikipedia.org/wiki/Abu_Tammam,https://en.wikipedia.org/wiki/Abu_Tammam,802.0,843.0,case1,Asia,Syria,
