UO_ID,NameInIndex,case,DeathPrecision,DeathDate,BornPrecision,BirthDate,Alive precision,AliveDate,LifeLength Precision,LifeLength,aproxBirthDate,aproxDeathDate,Index Category 1,NameOnChart,OnChartCategory,On Chart: Line #,Section starting Line,LineNumber,FullTextPageNum,WikiLink,Alternate Link,Region_final,Sex or gender V2,country,continent
1,Aaron,"case3
",,,,,fl.,622,,,599,645,Ph,Aaron,Mathematicians &cc Physicians,3,68,71,32,,,,missing from OpenRefine results,Unknown,
2,Abas,"case3
",,,,,fl.,-1070,,,-1093,-1047,,Abas,Statesmen and Warriors,23,126,149,40,https://en.wikipedia.org/wiki/Abas_(son_of_Lynceus),,,male,Unknown,Unknown
3,Abbas Shah,case1,d.,1628,,,,,,70,1558,1628,,Shah Abbas,Statesmen and Warriors,1,126,127,40,https://en.wikipedia.org/wiki/Abbas_the_Great,,Persia,male,Afghanistan,Asia
4,Abbo,case2,d.,1183,,,,,,,1138,1183,D,Abbo,Divines and Metaphysicians &cc,15,98,113,40,https://en.wikipedia.org/wiki/Abbo_of_Fleury,,France,male,France,Europe
5,Abbo Neustriae,"case3
",,,,,fl.,892,,,869,915,P,Abbo N.,Artists Poets,11,42,53,40,https://en.wikipedia.org/wiki/Abbo_Cernuus,,France,male,France|Jersey|Guernsey,Europe|Europe|Europe
6,Abbot,case1,d.,1633,,,,,,71,1562,1633,D,Abbot,Divines and Metaphysicians &cc,16,98,114,40,https://en.wikipedia.org/wiki/George_Abbot_(bishop),,Great Britain,male,United Kingdom,Europe
7,Abdalrahman,case2,d.,708,,,,,,,663,708,,,,,,0,40,https://en.wikipedia.org/wiki/Abd_al-Rahman_I,,Persia,male,Syria,Asia
8,Abdalrahman,case1,d.,987,,,,,,85,902,987,M,,,,,0,40,https://en.wikipedia.org/wiki/Abd_al-Rahman_I,,Persia,male,Syria,Asia
9,Abelard,case1,d.,1143,,,,,,62,1081,1143,D,Abelard,Divines and Metaphysicians &cc,15,98,113,40,https://en.wikipedia.org/wiki/Peter_Abelard,,France,male,France,Europe
10,Abenezra,case1,d.,1174,,,,,,75,1099,1174,J,Aben Ezra,Divines and Metaphysicians &cc,1,98,99,40,https://en.wikipedia.org/wiki/Abraham_ibn_Ezra,,Spain,male,Spain,Europe
11,Abibalus,"case3
",,,,,fl.,-1048,,,-1071,-1025,,Abibalus,Statesmen and Warriors,7,126,133,40,https://en.wikipedia.org/wiki/Abibaal,https://en.wikipedia.org/wiki/Sanchuniathon,,missing from OpenRefine results,Unknown,Unknown
12,Abijah,case2,d.,-955,,,,,,,-1000,-955,,Abijah,Statesmen and Warriors,11,126,137,40,https://en.wikipedia.org/wiki/Abijah_of_Judah,,Turky in Asia,male,Israel,Asia
13,Abrabinel,case1,d.,1508,,,,,,70,1438,1508,J,Abrabinel,Divines and Metaphysicians &cc,4,98,102,40,https://en.wikipedia.org/wiki/Isaac_Abarbanel,,Spain,male,Portugal,Europe
14,Abu Bekr,case1,d.,634,,,,,,63,571,634,,Abubekr,Statesmen and Warriors,5,126,131,40,https://en.wikipedia.org/wiki/Abu_Bakr,,,male,Saudi Arabia,Asia
15,Abu Temam,case1,d.,843,,,,,,41,802,843,P,Abu Temam,Artists Poets,5,42,47,41,https://en.wikipedia.org/wiki/Abu_Tammam,,Persia,male,Syria,Asia
16,Abucaras,"case3
",,,,,fl.,770,,,747,793,D,Abucaras,Divines and Metaphysicians &cc,15,98,113,40,https://en.wikipedia.org/wiki/Theodore_Abu_Qurrah,,Persia,male,Turkey,Asia|Europe
17,Abul Pharai,case14,,,b.,1226,l. af.,1285,,,1226,1308,H,Abulpharai,Historians and Antiquaries Lawyers,10,0,10,41,https://en.wikipedia.org/wiki/Bar_Hebraeus,,Turky,male,Turkey,Asia|Europe
18,Abulghazi,case1,d.,1663,,,,,,59,1604,1663,H,Abulghazi,Historians and Antiquaries Lawyers,7,0,7,41,https://en.wikipedia.org/wiki/Abu_al-Ghazi_Bahadur,,BLANK 1,male,Uzbekistan,Asia
19,Abulseda,case1,d.,1345,,,,,,72,1273,1345,Geo.,Abulseda,Historians and Antiquaries Lawyers,9,0,9,40,https://en.wikipedia.org/wiki/Abu%27l-Fida,,Persia,male,Syria,Asia
20,Abusaid,case1,d.,1335,,,,,,32,1303,1335,,Abusaid,Statesmen and Warriors,4,126,130,41,https://en.wikipedia.org/wiki/Abu_Sa%27id_Bahadur_Khan,,Persia,male,Armenia,Asia|Europe
21,Abydenus,case13,,,,,fl. ab.,-300,,,-323,-277,H,Abydenus,Historians and Antiquaries Lawyers,20,0,20,41,https://en.wikipedia.org/wiki/Abydenus,,,male,Unknown,Unknown
22,Acca,case2,d.,740,,,,,,,695,740,D,Acca,Divines and Metaphysicians &cc,21,98,119,41,https://en.wikipedia.org/wiki/Acca_of_Hexham,,Great Britain,male,United Kingdom,Europe
23,Accius,case11,,,b.,-171,,,ab.,65,-171,-106,P,Accius,Artists Poets,12,42,54,41,https://en.wikipedia.org/wiki/Lucius_Accius,,Italy,male,Italy,Europe
24,Accursius,case1,d.,1229,,,,,,77,1152,1229,L,Accursius,Historians and Antiquaries Lawyers,1,0,1,41,https://en.wikipedia.org/wiki/Accursius,,Italy,male,Italy,Europe
25,Achilles Tatius,case13,,,,,fl. ab.,800,,,777,823,HP,Ach: Tatius,Divines and Metaphysicians &cc,26,98,124,41,https://en.wikipedia.org/wiki/Achilles_Tatius,,Africa,male,Egypt,Africa|Asia
26,Achillini,case1,d.,1512,,,,,,47,1465,1512,M,Achillini,Mathematicians &cc Physicians,20,68,88,41,https://en.wikipedia.org/wiki/Alessandro_Achillini,,Italy,male,Italy,Europe
27,Achmet,"case3
",,,,,fl.,350,,,327,373,Cr,,,,,0,41,https://en.wikipedia.org/wiki/Achmet_(oneiromancer),,,male,Unknown,Unknown
28,Acrisius,,,,,,fl.,-1030,,,,,,Acrisius,Statesmen and Warriors,24,126,150,40,https://en.wikipedia.org/wiki/Acrisius,,,male,Unknown,Unknown
29,Acron,"case3
",,,,,fl.,-439,,,-462,-416,Ph,Acron,Mathematicians &cc Physicians,6,68,74,41,https://en.wikipedia.org/wiki/Acron,,Italy,male,Italy,Europe
30,Acropolita G.,case1,d.,1282,,,,,,62,1220,1282,H,G. Acropolita,Historians and Antiquaries Lawyers,14,0,14,41,https://en.wikipedia.org/wiki/George_Akropolites,,,missing from OpenRefine results,Byzantine Empire|Latin Empire|Ottoman Empire,Europe|Europe|Asia|Asia|Europe|Africa
31,Acusilaus,"case3
",,,,,fl.,-550,,,-573,-527,H,Acusilaus,Historians and Antiquaries Lawyers,20,0,20,41,https://en.wikipedia.org/wiki/Acusilaus,,Turky in Europe,male,Greece,Europe
32,Adado'dawla,case4,d.,98,,,,,ab.,47,51,98,,Adado'dawla,Statesmen and Warriors,6,126,132,41,https://en.wikipedia.org/wiki/%27Adud_al-Dawla,,Persia,male,Iran,Asia
33,"Adda, R.","case3
",,,,,fl.,298,,,275,321,M,R. Adda,Mathematicians &cc Physicians,24,68,92,32,https://en.wikipedia.org/wiki/Adda_bar_Ahavah,,,male,Unknown,Unknown
34,Addison,case1,d.,1719,,,,,,54,1665,1719,P,Addison,Artists Poets,6,42,48,41,https://en.wikipedia.org/wiki/Joseph_Addison,,Great Britain,male,United Kingdom,Europe
35,"Adelmus, Du","case3
",,,,,fl.,709,,,686,732,M,Adelmus D.,Mathematicians &cc Physicians,18,68,86,32,,https://books.google.com/books?id=I3hUAAAAYAAJ&pg=PP54&lpg=PP54&dq=du+adelmus+universal+history&source=bl&ots=kXJUeqAIn0&sig=ACfU3U1N5CDja-6IpoHyVNjfRBNW33Z-SQ&hl=en&sa=X&ved=2ahUKEwievYLo0MDnAhUCsZ4KHZgtD2oQ6AEwBHoECAYQAQ#v=onepage&q=du%20adelmus%20universal%20history&f=false,Germany,missing from OpenRefine results,Unknown,Unknown
36,Ado,case2,d.,874,,,,,,,829,874,H,Ado,Historians and Antiquaries Lawyers,14,0,14,41,https://en.wikipedia.org/wiki/Ado_of_Vienne,,France,male,France,Europe
37,Adrian,case1,d.,138,,,,,,72,66,138,,Adrian,Statesmen and Warriors,14,126,140,41,https://en.wikipedia.org/wiki/Hadrian,,Spain,male,Spain|Ancient Rome,Europe|Europe|Africa|Asia
38,Adrian 4th,case2,d.,1159,,,,,,,1114,1159,Po,Adrian 4th,Divines and Metaphysicians &cc,24,98,122,41,https://en.wikipedia.org/wiki/Pope_Adrian_IV,,Great Britain,male,United Kingdom,Europe
39,Aeacus,,,,,,,-980,,,,,,Aeacus,Statesmen and Warriors,22,126,148,-99,https://en.wikipedia.org/wiki/Aeacus,,Turky in Europe,male,Greece,Europe
40,Aegialeus,"case3
",,,,,fl.,-1080,,,-1103,-1057,,Aegialeus,Statesmen and Warriors,24,126,150,41,,https://en.wikipedia.org/wiki/Aegialeus_(King_of_Argos) or https://en.wikipedia.org/wiki/Aegialeus_(King_of_Sicyon),Turky in Europe,missing from OpenRefine results,Unknown,Unknown
41,Aegidius,"case3
",,,,,fl.,1150,,,1127,1173,P,Aegidius,Artists Poets,12,42,54,41,https://en.wikipedia.org/wiki/Giles_of_Viterbo,,Italy,male,Italy,Europe
42,Aelian,case6,d. ab.,140,,,,,,60,80,140,H,Aelian,Historians and Antiquaries Lawyers,13,0,13,41,https://en.wikipedia.org/wiki/Aelianus_Tacticus,,,male,Unknown,Unknown
