OBJECTID,index,cx,cy,x,y,dx,dy
1,a-180x-180,-180,-180,-180,-180,9.99876E-11,9.99876E-11
2,a-176.4x-180,-176.4,-180,-176.4,-180,1.00016E-10,9.99876E-11
3,a-172.8x-180,-172.8,-180,-172.8,-180,1.00016E-10,9.99876E-11
4,a-169.2x-180,-169.2,-180,-169.2,-180,9.99876E-11,9.99876E-11
5,a-165.6x-180,-165.6,-180,-165.6,-180,9.99876E-11,9.99876E-11
6,a-162x-180,-162,-180,-162,-180,9.99876E-11,9.99876E-11
7,a-158.4x-180,-158.4,-180,-158.4,-180,1.00016E-10,9.99876E-11
8,a-154.8x-180,-154.8,-180,-154.8,-180,1.00016E-10,9.99876E-11
9,a-151.2x-180,-151.2,-180,-151.2,-180,9.99876E-11,9.99876E-11
10,a-147.6x-180,-147.6,-180,-147.6,-180,9.99876E-11,9.99876E-11
11,a-144x-180,-144,-180,-144,-180,9.99876E-11,9.99876E-11
12,a-140.4x-180,-140.4,-180,-140.4,-180,1.00016E-10,9.99876E-11
13,a-136.8x-180,-136.8,-180,-136.8,-180,1.00016E-10,9.99876E-11
14,a-133.2x-180,-133.2,-180,-133.2,-180,9.99876E-11,9.99876E-11
15,a-129.6x-180,-129.6,-180,-129.6,-180,9.99876E-11,9.99876E-11
16,a-126x-180,-126,-180,-126,-180,1.00002E-10,9.99876E-11
17,a-122.4x-180,-122.4,-180,-122.4,-180,1.00002E-10,9.99876E-11
18,a-118.8x-180,-118.8,-180,-118.8,-180,1.00002E-10,9.99876E-11
19,a-115.2x-180,-115.2,-180,-115.2,-180,1.00002E-10,9.99876E-11
20,a-111.6x-180,-111.6,-180,-111.6,-180,9.99876E-11,9.99876E-11
21,a-108x-180,-108,-180,-108,-180,1.00002E-10,9.99876E-11
22,a-104.4x-180,-104.4,-180,-104.4,-180,1.00002E-10,9.99876E-11
23,a-100.8x-180,-100.8,-180,-100.8,-180,1.00002E-10,9.99876E-11
24,a-97.2x-180,-97.2,-180,-97.2,-180,1.00002E-10,9.99876E-11
25,a-93.6x-180,-93.6,-180,-93.6,-180,9.99876E-11,9.99876E-11
26,a-90x-180,-90,-180,-90,-180,1.00002E-10,9.99876E-11
27,a-86.4x-180,-86.4,-180,-86.4,-180,1.00002E-10,9.99876E-11
28,a-82.8x-180,-82.8,-180,-82.8,-180,1.00002E-10,9.99876E-11
29,a-79.2x-180,-79.2,-180,-79.2,-180,1.00002E-10,9.99876E-11
30,a-75.6x-180,-75.6,-180,-75.6,-180,9.99876E-11,9.99876E-11
31,a-72x-180,-72,-180,-72,-180,1.00002E-10,9.99876E-11
32,a-68.4x-180,-68.4,-180,-68.4,-180,1.00002E-10,9.99876E-11
33,a-64.8x-180,-64.8,-180,-64.8,-180,1.00002E-10,9.99876E-11
34,a-61.2x-180,-61.2,-180,-61.2,-180,1.00002E-10,9.99876E-11
35,a-57.6x-180,-57.6,-180,-57.6,-180,1.00002E-10,9.99876E-11
36,a-54x-180,-54,-180,-54,-180,1.00002E-10,9.99876E-11
37,a-50.4x-180,-50.4,-180,-50.4,-180,1.00002E-10,9.99876E-11
38,a-46.8x-180,-46.8,-180,-46.8,-180,9.99947E-11,9.99876E-11
39,a-43.2x-180,-43.2,-180,-43.2,-180,1.00002E-10,9.99876E-11
40,a-39.6x-180,-39.6,-180,-39.6,-180,1.00002E-10,9.99876E-11
41,a-36x-180,-36,-180,-36,-180,1.00002E-10,9.99876E-11
42,a-32.4x-180,-32.4,-180,-32.4,-180,1.00002E-10,9.99876E-11
43,a-28.8x-180,-28.8,-180,-28.8,-180,1.00002E-10,9.99876E-11
44,a-25.2x-180,-25.2,-180,-25.2,-180,9.99982E-11,9.99876E-11
