index,cx,cy,dx,dy,newX,newY
a-180x-180,-180,-180,0,9.9476E-13,-180,-180
a-176.4x-180,-176.4,-180,6.1E-06,9.9476E-13,-176.3999939,-180
a-172.8x-180,-172.8,-180,-3.1E-06,9.9476E-13,-172.8000031,-180
a-169.2x-180,-169.2,-180,3.1E-06,9.9476E-13,-169.1999969,-180
a-165.6x-180,-165.6,-180,-6.1E-06,9.9476E-13,-165.6000061,-180
a-162x-180,-162,-180,0,9.9476E-13,-162,-180
a-158.4x-180,-158.4,-180,6.1E-06,9.9476E-13,-158.3999939,-180
a-154.8x-180,-154.8,-180,-3.1E-06,9.9476E-13,-154.8000031,-180
a-151.2x-180,-151.2,-180,3.1E-06,9.9476E-13,-151.1999969,-180
a-147.6x-180,-147.6,-180,-6.1E-06,9.9476E-13,-147.6000061,-180
a-144x-180,-144,-180,0,9.9476E-13,-144,-180
a-140.4x-180,-140.4,-180,6.1E-06,9.9476E-13,-140.3999939,-180
a-136.8x-180,-136.8,-180,-3.1E-06,9.9476E-13,-136.8000031,-180
a-133.2x-180,-133.2,-180,3.1E-06,9.9476E-13,-133.1999969,-180
a-129.6x-180,-129.6,-180,-6.1E-06,9.9476E-13,-129.6000061,-180
a-126x-180,-126,-180,0,9.9476E-13,-126,-180
a-122.4x-180,-122.4,-180,-1.5E-06,9.9476E-13,-122.4000015,-180
a-118.8x-180,-118.8,-180,-3.1E-06,9.9476E-13,-118.8000031,-180
a-115.2x-180,-115.2,-180,3.1E-06,9.9476E-13,-115.1999969,-180
a-111.6x-180,-111.6,-180,1.5E-06,9.9476E-13,-111.5999985,-180
a-108x-180,-108,-180,0,9.9476E-13,-108,-180
a-104.4x-180,-104.4,-180,-1.5E-06,9.9476E-13,-104.4000015,-180
a-100.8x-180,-100.8,-180,-3.1E-06,9.9476E-13,-100.8000031,-180
a-97.2x-180,-97.2,-180,3.1E-06,9.9476E-13,-97.1999969,-180
a-93.6x-180,-93.6,-180,1.5E-06,9.9476E-13,-93.5999985,-180
a-90x-180,-90,-180,0,9.9476E-13,-90,-180
a-86.4x-180,-86.4,-180,-1.5E-06,9.9476E-13,-86.4000015,-180
a-82.8x-180,-82.8,-180,-3.1E-06,9.9476E-13,-82.8000031,-180
a-79.2x-180,-79.2,-180,3.1E-06,9.9476E-13,-79.1999969,-180
a-75.6x-180,-75.6,-180,1.5E-06,9.9476E-13,-75.5999985,-180
a-72x-180,-72,-180,0,9.9476E-13,-72,-180
a-68.4x-180,-68.4,-180,-1.5E-06,9.9476E-13,-68.4000015,-180
a-64.8x-180,-64.8,-180,-3.1E-06,9.9476E-13,-64.8000031,-180
a-61.2x-180,-61.2,-180,-8E-07,9.9476E-13,-61.2000008,-180
a-57.6x-180,-57.6,-180,1.5E-06,9.9476E-13,-57.5999985,-180
a-54x-180,-54,-180,0,9.9476E-13,-54,-180
a-50.4x-180,-50.4,-180,-1.5E-06,9.9476E-13,-50.4000015,-180
a-46.8x-180,-46.8,-180,8E-07,9.9476E-13,-46.7999992,-180
a-43.2x-180,-43.2,-180,-8E-07,9.9476E-13,-43.2000008,-180
a-39.6x-180,-39.6,-180,1.5E-06,9.9476E-13,-39.5999985,-180
a-36x-180,-36,-180,0,9.9476E-13,-36,-180
a-32.4x-180,-32.4,-180,-1.5E-06,9.9476E-13,-32.4000015,-180
a-28.8x-180,-28.8,-180,8E-07,9.9476E-13,-28.7999992,-180
a-25.2x-180,-25.2,-180,-8E-07,9.9476E-13,-25.2000008,-180
a-21.6x-180,-21.6,-180,-4E-07,9.9476E-13,-21.6000004,-180
a-18x-180,-18,-180,0,9.9476E-13,-18,-180
a-14.4x-180,-14.4,-180,4E-07,9.9476E-13,-14.3999996,-180
a-10.8x-180,-10.8,-180,-2E-07,9.9476E-13,-10.8000002,-180
a-7.2x-180,-7.2,-180,2E-07,9.9476E-13,-7.1999998,-180
a-3.6x-180,-3.6,-180,1E-07,9.9476E-13,-3.5999999,-180
a0x-180,0,-180,0,9.9476E-13,0,-180
a3.6x-180,3.6,-180,-1E-07,9.9476E-13,3.5999999,-180
a7.2x-180,7.2,-180,-2E-07,9.9476E-13,7.1999998,-180
a10.8x-180,10.8,-180,2E-07,9.9476E-13,10.8000002,-180
a14.4x-180,14.4,-180,-4E-07,9.9476E-13,14.3999996,-180
a18x-180,18,-180,0,9.9476E-13,18,-180
a21.6x-180,21.6,-180,4E-07,9.9476E-13,21.6000004,-180
a25.2x-180,25.2,-180,8E-07,9.9476E-13,25.2000008,-180
a28.8x-180,28.8,-180,-8E-07,9.9476E-13,28.7999992,-180
a32.4x-180,32.4,-180,1.5E-06,9.9476E-13,32.4000015,-180
a36x-180,36,-180,0,9.9476E-13,36,-180
