index,cx,cy,dx,dy,newX,newY
a-180x-180,-180,-180,-180,0,-180,-180
a-176.4x-180,-176.4,-180,-180,0,-176.3999939,-180
a-172.8x-180,-172.8,-180,-180,0,-172.8000031,-180
a-169.2x-180,-169.2,-180,-180,0,-169.1999969,-180
a-165.6x-180,-165.6,-180,-180,0,-165.6000061,-180
a-162x-180,-162,-180,-180,0,-162,-180
a-158.4x-180,-158.4,-180,-180,0,-158.3999939,-180
a-154.8x-180,-154.8,-180,-180,0,-154.8000031,-180
a-151.2x-180,-151.2,-180,-180,0,-151.1999969,-180
a-147.6x-180,-147.6,-180,-180,0,-147.6000061,-180
a-144x-180,-144,-180,-180,0,-144,-180
a-140.4x-180,-140.4,-180,-180,0,-140.3999939,-180
a-136.8x-180,-136.8,-180,-180,0,-136.8000031,-180
a-133.2x-180,-133.2,-180,-180,0,-133.1999969,-180
a-129.6x-180,-129.6,-180,-180,0,-129.6000061,-180
a-126x-180,-126,-180,-180,0,-126,-180
a-122.4x-180,-122.4,-180,-180,0,-122.4000015,-180
a-118.8x-180,-118.8,-180,-180,0,-118.8000031,-180
a-115.2x-180,-115.2,-180,-180,0,-115.1999969,-180
a-111.6x-180,-111.6,-180,-180,0,-111.5999985,-180
a-108x-180,-108,-180,-180,0,-108,-180
a-104.4x-180,-104.4,-180,-180,0,-104.4000015,-180
a-100.8x-180,-100.8,-180,-180,0,-100.8000031,-180
a-97.2x-180,-97.2,-180,-180,0,-97.1999969,-180
a-93.6x-180,-93.6,-180,-180,0,-93.5999985,-180
a-90x-180,-90,-180,-180,0,-90,-180
a-86.4x-180,-86.4,-180,-180,0,-86.4000015,-180
a-82.8x-180,-82.8,-180,-180,0,-82.8000031,-180
a-79.2x-180,-79.2,-180,-180,0,-79.1999969,-180
a-75.6x-180,-75.6,-180,-180,0,-75.5999985,-180
a-72x-180,-72,-180,-180,0,-72,-180
a-68.4x-180,-68.4,-180,-180,0,-68.4000015,-180
a-64.8x-180,-64.8,-180,-180,0,-64.8000031,-180
a-61.2x-180,-61.2,-180,-180,0,-61.2000008,-180
a-57.6x-180,-57.6,-180,-180,0,-57.5999985,-180
a-54x-180,-54,-180,-180,0,-54,-180
a-50.4x-180,-50.4,-180,-180,0,-50.4000015,-180
a-46.8x-180,-46.8,-180,-180,0,-46.7999992,-180
a-43.2x-180,-43.2,-180,-180,0,-43.2000008,-180
a-39.6x-180,-39.6,-180,-180,0,-39.5999985,-180
a-36x-180,-36,-180,-180,0,-36,-180
a-32.4x-180,-32.4,-180,-180,0,-32.4000015,-180
a-28.8x-180,-28.8,-180,-180,0,-28.7999992,-180
a-25.2x-180,-25.2,-180,-180,0,-25.2000008,-180
a-21.6x-180,-21.6,-180,-180,0,-21.6000004,-180
a-18x-180,-18,-180,-180,0,-18,-180
a-14.4x-180,-14.4,-180,-180,0,-14.3999996,-180
a-10.8x-180,-10.8,-180,-180,0,-10.8000002,-180
a-7.2x-180,-7.2,-180,-180,0,-7.1999998,-180
a-3.6x-180,-3.6,-180,-180,0,-3.5999999,-180
a0x-180,0,-180,-180,0,0,-180
a3.6x-180,3.6,-180,-180,0,3.5999999,-180
a7.2x-180,7.2,-180,-180,0,7.1999998,-180
a10.8x-180,10.8,-180,-180,0,10.8000002,-180
a14.4x-180,14.4,-180,-180,0,14.3999996,-180
a18x-180,18,-180,-180,0,18,-180
a21.6x-180,21.6,-180,-180,0,21.6000004,-180
a25.2x-180,25.2,-180,-180,0,25.2000008,-180
a28.8x-180,28.8,-180,-180,0,28.7999992,-180
a32.4x-180,32.4,-180,-180,0,32.4000015,-180
a36x-180,36,-180,-180,0,36,-180
a39.6x-180,39.6,-180,-180,0,39.5999985,-180
a43.2x-180,43.2,-180,-180,0,43.2000008,-180
a46.8x-180,46.8,-180,-180,0,46.7999992,-180
a50.4x-180,50.4,-180,-180,0,50.4000015,-180
a54x-180,54,-180,-180,0,54,-180
a57.6x-180,57.6,-180,-180,0,57.5999985,-180
a61.2x-180,61.2,-180,-180,0,61.2000008,-180
a64.8x-180,64.8,-180,-180,0,64.8000031,-180
a68.4x-180,68.4,-180,-180,0,68.4000015,-180
a72x-180,72,-180,-180,0,72,-180
a75.6x-180,75.6,-180,-180,0,75.5999985,-180
a79.2x-180,79.2,-180,-180,0,79.1999969,-180
a82.8x-180,82.8,-180,-180,0,82.8000031,-180
a86.4x-180,86.4,-180,-180,0,86.4000015,-180
a90x-180,90,-180,-180,0,90,-180
a93.6x-180,93.6,-180,-180,0,93.5999985,-180
a97.2x-180,97.2,-180,-180,0,97.1999969,-180
a100.8x-180,100.8,-180,-180,0,100.8000031,-180
a104.4x-180,104.4,-180,-180,0,104.4000015,-180
a108x-180,108,-180,-180,0,108,-180
a111.6x-180,111.6,-180,-180,0,111.5999985,-180
a115.2x-180,115.2,-180,-180,0,115.1999969,-180
a118.8x-180,118.8,-180,-180,0,118.8000031,-180
a122.4x-180,122.4,-180,-180,0,122.4000015,-180
a126x-180,126,-180,-180,0,126,-180
a129.6x-180,129.6,-180,-180,0,129.6000061,-180
a133.2x-180,133.2,-180,-180,0,133.1999969,-180
a136.8x-180,136.8,-180,-180,0,136.8000031,-180
a140.4x-180,140.4,-180,-180,0,140.3999939,-180
a144x-180,144,-180,-180,0,144,-180
a147.6x-180,147.6,-180,-180,0,147.6000061,-180
a151.2x-180,151.2,-180,-180,0,151.1999969,-180
a154.8x-180,154.8,-180,-180,0,154.8000031,-180
a158.4x-180,158.4,-180,-180,0,158.3999939,-180
a162x-180,162,-180,-180,0,162,-180
a165.6x-180,165.6,-180,-180,0,165.6000061,-180
a169.2x-180,169.2,-180,-180,0,169.1999969,-180
a172.8x-180,172.8,-180,-180,0,172.8000031,-180
a176.4x-180,176.4,-180,-180,0,176.3999939,-180
a-180x-176.4,-180,-176.4,-180,0,-180,-176.4
a-176.4x-176.4,-176.4,-176.4,-180,0,-176.3999939,-176.4
a-172.8x-176.4,-172.8,-176.4,-180,0,-172.8000031,-176.4
a-169.2x-176.4,-169.2,-176.4,-180,0,-169.1999969,-176.4
a-165.6x-176.4,-165.6,-176.4,-180,0,-165.6000061,-176.4
a-162x-176.4,-162,-176.4,-180,0,-162,-176.4
a-158.4x-176.4,-158.4,-176.4,-180,0,-158.3999939,-176.4
a-154.8x-176.4,-154.8,-176.4,-180,0,-154.8000031,-176.4
a-151.2x-176.4,-151.2,-176.4,-180,0,-151.1999969,-176.4
a-147.6x-176.4,-147.6,-176.4,-180,0,-147.6000061,-176.4
a-144x-176.4,-144,-176.4,-180,0,-144,-176.4
a-140.4x-176.4,-140.4,-176.4,-180,0,-140.3999939,-176.4
a-136.8x-176.4,-136.8,-176.4,-180,0,-136.8000031,-176.4
a-133.2x-176.4,-133.2,-176.4,-180,0,-133.1999969,-176.4
a-129.6x-176.4,-129.6,-176.4,-180,0,-129.6000061,-176.4
a-126x-176.4,-126,-176.4,-180,0,-126,-176.4
a-122.4x-176.4,-122.4,-176.4,-180,0,-122.4000015,-176.4
a-118.8x-176.4,-118.8,-176.4,-180,0,-118.8000031,-176.4
a-115.2x-176.4,-115.2,-176.4,-180,0,-115.1999969,-176.4
a-111.6x-176.4,-111.6,-176.4,-180,0,-111.5999985,-176.4
a-108x-176.4,-108,-176.4,-180,0,-108,-176.4
