OBJECTID,index,x,y,newX,newY
1,a-180x-180,-180.000000000000000,-180.000000000000000,-180.0000000,-179.999999999999940
2,a-176.4x-180,-176.400000000000010,-180.000000000000000,-176.3999939,-179.999999999999940
3,a-172.8x-180,-172.800000000000010,-180.000000000000000,-172.8000031,-179.999999999999940
4,a-169.2x-180,-169.199999999999990,-180.000000000000000,-169.1999969,-179.999999999999940
5,a-165.6x-180,-165.599999999999990,-180.000000000000000,-165.6000061,-179.999999999999940
6,a-162x-180,-162.000000000000000,-180.000000000000000,-162.0000000,-179.999999999999940
7,a-158.4x-180,-158.400000000000010,-180.000000000000000,-158.3999939,-179.999999999999940
8,a-154.8x-180,-154.800000000000010,-180.000000000000000,-154.8000031,-179.999999999999940
9,a-151.2x-180,-151.199999999999990,-180.000000000000000,-151.1999969,-179.999999999999940
10,a-147.6x-180,-147.599999999999990,-180.000000000000000,-147.6000061,-179.999999999999940
11,a-144x-180,-144.000000000000000,-180.000000000000000,-144.0000000,-179.999999999999940
12,a-140.4x-180,-140.400000000000010,-180.000000000000000,-140.3999939,-179.999999999999940
13,a-136.8x-180,-136.800000000000010,-180.000000000000000,-136.8000031,-179.999999999999940
14,a-133.2x-180,-133.199999999999990,-180.000000000000000,-133.1999969,-179.999999999999940
15,a-129.6x-180,-129.599999999999990,-180.000000000000000,-129.6000061,-179.999999999999940
16,a-126x-180,-126.000000000000000,-180.000000000000000,-126.0000000,-179.999999999999940
17,a-122.4x-180,-122.400000000000010,-180.000000000000000,-122.4000015,-179.999999999999940
18,a-118.8x-180,-118.800000000000000,-180.000000000000000,-118.8000031,-179.999999999999940
19,a-115.2x-180,-115.200000000000000,-180.000000000000000,-115.1999969,-179.999999999999940
20,a-111.6x-180,-111.599999999999990,-180.000000000000000,-111.5999985,-179.999999999999940
21,a-108x-180,-108.000000000000000,-180.000000000000000,-108.0000000,-179.999999999999940
22,a-104.4x-180,-104.400000000000010,-180.000000000000000,-104.4000015,-179.999999999999940
23,a-100.8x-180,-100.800000000000000,-180.000000000000000,-100.8000031,-179.999999999999940
24,a-97.2x-180,-97.200000000000003,-180.000000000000000,-97.1999969,-179.999999999999940
25,a-93.6x-180,-93.599999999999994,-180.000000000000000,-93.5999985,-179.999999999999940
26,a-90x-180,-90.000000000000000,-180.000000000000000,-90.0000000,-179.999999999999940
27,a-86.4x-180,-86.400000000000006,-180.000000000000000,-86.4000015,-179.999999999999940
28,a-82.8x-180,-82.799999999999997,-180.000000000000000,-82.8000031,-179.999999999999940
29,a-79.2x-180,-79.200000000000003,-180.000000000000000,-79.1999969,-179.999999999999940
30,a-75.6x-180,-75.599999999999994,-180.000000000000000,-75.5999985,-179.999999999999940
31,a-72x-180,-72.000000000000000,-180.000000000000000,-72.0000000,-179.999999999999940
32,a-68.4x-180,-68.400000000000006,-180.000000000000000,-68.4000015,-179.999999999999940
33,a-64.8x-180,-64.799999999999997,-180.000000000000000,-64.8000031,-179.999999999999940
34,a-61.2x-180,-61.200000000000003,-180.000000000000000,-61.2000008,-179.999999999999940
35,a-57.6x-180,-57.600000000000001,-180.000000000000000,-57.5999985,-179.999999999999940
36,a-54x-180,-54.000000000000000,-180.000000000000000,-54.0000000,-179.999999999999940
37,a-50.4x-180,-50.399999999999999,-180.000000000000000,-50.4000015,-179.999999999999940
38,a-46.8x-180,-46.799999999999997,-180.000000000000000,-46.7999992,-179.999999999999940
39,a-43.2x-180,-43.200000000000003,-180.000000000000000,-43.2000008,-179.999999999999940
40,a-39.6x-180,-39.600000000000001,-180.000000000000000,-39.5999985,-179.999999999999940
41,a-36x-180,-36.000000000000000,-180.000000000000000,-36.0000000,-179.999999999999940
42,a-32.4x-180,-32.399999999999999,-180.000000000000000,-32.4000015,-179.999999999999940
43,a-28.8x-180,-28.800000000000001,-180.000000000000000,-28.7999992,-179.999999999999940
44,a-25.2x-180,-25.199999999999999,-180.000000000000000,-25.2000008,-179.999999999999940
45,a-21.6x-180,-21.600000000000001,-180.000000000000000,-21.6000004,-179.999999999999940
46,a-18x-180,-18.000000000000000,-180.000000000000000,-18.0000000,-179.999999999999940
47,a-14.4x-180,-14.400000000000000,-180.000000000000000,-14.3999996,-179.999999999999940
48,a-10.8x-180,-10.800000000000001,-180.000000000000000,-10.8000002,-179.999999999999940
49,a-7.2x-180,-7.200000000000000,-180.000000000000000,-7.1999998,-179.999999999999940
50,a-3.6x-180,-3.600000000000000,-180.000000000000000,-3.5999999,-179.999999999999940
51,a0x-180,0.000000000000000,-180.000000000000000,0.0000000,-179.999999999999940
52,a3.6x-180,3.600000000000000,-180.000000000000000,3.5999999,-179.999999999999940
53,a7.2x-180,7.200000000000000,-180.000000000000000,7.1999998,-179.999999999999940
54,a10.8x-180,10.800000000000001,-180.000000000000000,10.8000002,-179.999999999999940
55,a14.4x-180,14.400000000000000,-180.000000000000000,14.3999996,-179.999999999999940
56,a18x-180,18.000000000000000,-180.000000000000000,18.0000000,-179.999999999999940
57,a21.6x-180,21.600000000000001,-180.000000000000000,21.6000004,-179.999999999999940
58,a25.2x-180,25.199999999999999,-180.000000000000000,25.2000008,-179.999999999999940
59,a28.8x-180,28.800000000000001,-180.000000000000000,28.7999992,-179.999999999999940
60,a32.4x-180,32.399999999999999,-180.000000000000000,32.4000015,-179.999999999999940
61,a36x-180,36.000000000000000,-180.000000000000000,36.0000000,-179.999999999999940
62,a39.6x-180,39.600000000000001,-180.000000000000000,39.5999985,-179.999999999999940
63,a43.2x-180,43.200000000000003,-180.000000000000000,43.2000008,-179.999999999999940
64,a46.8x-180,46.799999999999997,-180.000000000000000,46.7999992,-179.999999999999940
65,a50.4x-180,50.399999999999999,-180.000000000000000,50.4000015,-179.999999999999940
66,a54x-180,54.000000000000000,-180.000000000000000,54.0000000,-179.999999999999940
67,a57.6x-180,57.600000000000001,-180.000000000000000,57.5999985,-179.999999999999940
68,a61.2x-180,61.200000000000003,-180.000000000000000,61.2000008,-179.999999999999940
69,a64.8x-180,64.799999999999997,-180.000000000000000,64.8000031,-179.999999999999940
70,a68.4x-180,68.400000000000006,-180.000000000000000,68.4000015,-179.999999999999940
71,a72x-180,72.000000000000000,-180.000000000000000,72.0000000,-179.999999999999940
72,a75.6x-180,75.599999999999994,-180.000000000000000,75.5999985,-179.999999999999940
73,a79.2x-180,79.200000000000003,-180.000000000000000,79.1999969,-179.999999999999940
74,a82.8x-180,82.799999999999997,-180.000000000000000,82.8000031,-179.999999999999940
75,a86.4x-180,86.400000000000006,-180.000000000000000,86.4000015,-179.999999999999940
76,a90x-180,90.000000000000000,-180.000000000000000,90.0000000,-179.999999999999940
77,a93.6x-180,93.599999999999994,-180.000000000000000,93.5999985,-179.999999999999940
78,a97.2x-180,97.200000000000003,-180.000000000000000,97.1999969,-179.999999999999940
79,a100.8x-180,100.800000000000000,-180.000000000000000,100.8000031,-179.999999999999940
80,a104.4x-180,104.400000000000010,-180.000000000000000,104.4000015,-179.999999999999940
81,a108x-180,108.000000000000000,-180.000000000000000,108.0000000,-179.999999999999940
82,a111.6x-180,111.599999999999990,-180.000000000000000,111.5999985,-179.999999999999940
83,a115.2x-180,115.200000000000000,-180.000000000000000,115.1999969,-179.999999999999940
84,a118.8x-180,118.800000000000000,-180.000000000000000,118.8000031,-179.999999999999940
85,a122.4x-180,122.400000000000010,-180.000000000000000,122.4000015,-179.999999999999940
86,a126x-180,126.000000000000000,-180.000000000000000,126.0000000,-179.999999999999940
87,a129.6x-180,129.599999999999990,-180.000000000000000,129.6000061,-179.999999999999940
88,a133.2x-180,133.199999999999990,-180.000000000000000,133.1999969,-179.999999999999940
89,a136.8x-180,136.800000000000010,-180.000000000000000,136.8000031,-179.999999999999940
90,a140.4x-180,140.400000000000010,-180.000000000000000,140.3999939,-179.999999999999940
91,a144x-180,144.000000000000000,-180.000000000000000,144.0000000,-179.999999999999940
92,a147.6x-180,147.599999999999990,-180.000000000000000,147.6000061,-179.999999999999940
93,a151.2x-180,151.199999999999990,-180.000000000000000,151.1999969,-179.999999999999940
94,a154.8x-180,154.800000000000010,-180.000000000000000,154.8000031,-179.999999999999940
95,a158.4x-180,158.400000000000010,-180.000000000000000,158.3999939,-179.999999999999940
96,a162x-180,162.000000000000000,-180.000000000000000,162.0000000,-179.999999999999940
97,a165.6x-180,165.599999999999990,-180.000000000000000,165.6000061,-179.999999999999940
98,a169.2x-180,169.199999999999990,-180.000000000000000,169.1999969,-179.999999999999940
99,a172.8x-180,172.800000000000010,-180.000000000000000,172.8000031,-179.999999999999940
100,a176.4x-180,176.400000000000010,-180.000000000000000,176.3999939,-179.999999999999940
101,a-180x-176.4,-180.000000000000000,-176.400000000000010,-180.0000000,-176.399999999999980
102,a-176.4x-176.4,-176.400000000000010,-176.400000000000010,-176.3999939,-176.399999999999980
103,a-172.8x-176.4,-172.800000000000010,-176.400000000000010,-172.8000031,-176.399999999999980
104,a-169.2x-176.4,-169.199999999999990,-176.400000000000010,-169.1999969,-176.399999999999980
105,a-165.6x-176.4,-165.599999999999990,-176.400000000000010,-165.6000061,-176.399999999999980
106,a-162x-176.4,-162.000000000000000,-176.400000000000010,-162.0000000,-176.399999999999980
107,a-158.4x-176.4,-158.400000000000010,-176.400000000000010,-158.3999939,-176.399999999999980
108,a-154.8x-176.4,-154.800000000000010,-176.400000000000010,-154.8000031,-176.399999999999980
109,a-151.2x-176.4,-151.199999999999990,-176.400000000000010,-151.1999969,-176.399999999999980
110,a-147.6x-176.4,-147.599999999999990,-176.400000000000010,-147.6000061,-176.399999999999980
111,a-144x-176.4,-144.000000000000000,-176.400000000000010,-144.0000000,-176.399999999999980
112,a-140.4x-176.4,-140.400000000000010,-176.400000000000010,-140.3999939,-176.399999999999980
113,a-136.8x-176.4,-136.800000000000010,-176.400000000000010,-136.8000031,-176.399999999999980
114,a-133.2x-176.4,-133.199999999999990,-176.400000000000010,-133.1999969,-176.399999999999980
115,a-129.6x-176.4,-129.599999999999990,-176.400000000000010,-129.6000061,-176.399999999999980
116,a-126x-176.4,-126.000000000000000,-176.400000000000010,-126.0000000,-176.399999999999980
117,a-122.4x-176.4,-122.400000000000010,-176.400000000000010,-122.4000015,-176.399999999999980
118,a-118.8x-176.4,-118.800000000000000,-176.400000000000010,-118.8000031,-176.399999999999980
119,a-115.2x-176.4,-115.200000000000000,-176.400000000000010,-115.1999969,-176.399999999999980
120,a-111.6x-176.4,-111.599999999999990,-176.400000000000010,-111.5999985,-176.399999999999980
121,a-108x-176.4,-108.000000000000000,-176.400000000000010,-108.0000000,-176.399999999999980
122,a-104.4x-176.4,-104.400000000000010,-176.400000000000010,-104.4000015,-176.399999999999980
123,a-100.8x-176.4,-100.800000000000000,-176.400000000000010,-100.8000031,-176.399999999999980
124,a-97.2x-176.4,-97.200000000000003,-176.400000000000010,-97.1999969,-176.399999999999980
125,a-93.6x-176.4,-93.599999999999994,-176.400000000000010,-93.5999985,-176.399999999999980
126,a-90x-176.4,-90.000000000000000,-176.400000000000010,-90.0000000,-176.399999999999980
127,a-86.4x-176.4,-86.400000000000006,-176.400000000000010,-86.4000015,-176.399999999999980
128,a-82.8x-176.4,-82.799999999999997,-176.400000000000010,-82.8000031,-176.399999999999980
129,a-79.2x-176.4,-79.200000000000003,-176.400000000000010,-79.1999969,-176.399999999999980
130,a-75.6x-176.4,-75.599999999999994,-176.400000000000010,-75.5999985,-176.399999999999980
131,a-72x-176.4,-72.000000000000000,-176.400000000000010,-72.0000000,-176.399999999999980
132,a-68.4x-176.4,-68.400000000000006,-176.400000000000010,-68.4000015,-176.399999999999980
133,a-64.8x-176.4,-64.799999999999997,-176.400000000000010,-64.8000031,-176.399999999999980
134,a-61.2x-176.4,-61.200000000000003,-176.400000000000010,-61.2000008,-176.399999999999980
135,a-57.6x-176.4,-57.600000000000001,-176.400000000000010,-57.5999985,-176.399999999999980
136,a-54x-176.4,-54.000000000000000,-176.400000000000010,-54.0000000,-176.399999999999980
137,a-50.4x-176.4,-50.399999999999999,-176.400000000000010,-50.4000015,-176.399999999999980
138,a-46.8x-176.4,-46.799999999999997,-176.400000000000010,-46.7999992,-176.399999999999980
139,a-43.2x-176.4,-43.200000000000003,-176.400000000000010,-43.2000008,-176.399999999999980
140,a-39.6x-176.4,-39.600000000000001,-176.400000000000010,-39.5999985,-176.399999999999980
141,a-36x-176.4,-36.000000000000000,-176.400000000000010,-36.0000000,-176.399999999999980
142,a-32.4x-176.4,-32.399999999999999,-176.400000000000010,-32.4000015,-176.399999999999980
143,a-28.8x-176.4,-28.800000000000001,-176.400000000000010,-28.7999992,-176.399999999999980
144,a-25.2x-176.4,-25.199999999999999,-176.400000000000010,-25.2000008,-176.399999999999980
145,a-21.6x-176.4,-21.600000000000001,-176.400000000000010,-21.6000004,-176.399999999999980
146,a-18x-176.4,-18.000000000000000,-176.400000000000010,-18.0000000,-176.399999999999980
147,a-14.4x-176.4,-14.400000000000000,-176.400000000000010,-14.3999996,-176.399999999999980
148,a-10.8x-176.4,-10.800000000000001,-176.400000000000010,-10.8000002,-176.399999999999980
149,a-7.2x-176.4,-7.200000000000000,-176.400000000000010,-7.1999998,-176.399999999999980
150,a-3.6x-176.4,-3.600000000000000,-176.400000000000010,-3.5999999,-176.399999999999980
151,a0x-176.4,0.000000000000000,-176.400000000000010,0.0000000,-176.399999999999980
152,a3.6x-176.4,3.600000000000000,-176.400000000000010,3.5999999,-176.399999999999980
153,a7.2x-176.4,7.200000000000000,-176.400000000000010,7.1999998,-176.399999999999980
154,a10.8x-176.4,10.800000000000001,-176.400000000000010,10.8000002,-176.399999999999980
155,a14.4x-176.4,14.400000000000000,-176.400000000000010,14.3999996,-176.399999999999980
156,a18x-176.4,18.000000000000000,-176.400000000000010,18.0000000,-176.399999999999980
157,a21.6x-176.4,21.600000000000001,-176.400000000000010,21.6000004,-176.399999999999980
158,a25.2x-176.4,25.199999999999999,-176.400000000000010,25.2000008,-176.399999999999980
159,a28.8x-176.4,28.800000000000001,-176.400000000000010,28.7999992,-176.399999999999980
160,a32.4x-176.4,32.399999999999999,-176.400000000000010,32.4000015,-176.399999999999980
161,a36x-176.4,36.000000000000000,-176.400000000000010,36.0000000,-176.399999999999980
162,a39.6x-176.4,39.600000000000001,-176.400000000000010,39.5999985,-176.399999999999980
163,a43.2x-176.4,43.200000000000003,-176.400000000000010,43.2000008,-176.399999999999980
164,a46.8x-176.4,46.799999999999997,-176.400000000000010,46.7999992,-176.399999999999980
165,a50.4x-176.4,50.399999999999999,-176.400000000000010,50.4000015,-176.399999999999980
166,a54x-176.4,54.000000000000000,-176.400000000000010,54.0000000,-176.399999999999980
167,a57.6x-176.4,57.600000000000001,-176.400000000000010,57.5999985,-176.399999999999980
168,a61.2x-176.4,61.200000000000003,-176.400000000000010,61.2000008,-176.399999999999980
169,a64.8x-176.4,64.799999999999997,-176.400000000000010,64.8000031,-176.399999999999980
170,a68.4x-176.4,68.400000000000006,-176.400000000000010,68.4000015,-176.399999999999980
171,a72x-176.4,72.000000000000000,-176.400000000000010,72.0000000,-176.399999999999980
172,a75.6x-176.4,75.599999999999994,-176.400000000000010,75.5999985,-176.399999999999980
173,a79.2x-176.4,79.200000000000003,-176.400000000000010,79.1999969,-176.399999999999980
174,a82.8x-176.4,82.799999999999997,-176.400000000000010,82.8000031,-176.399999999999980
175,a86.4x-176.4,86.400000000000006,-176.400000000000010,86.4000015,-176.399999999999980
176,a90x-176.4,90.000000000000000,-176.400000000000010,90.0000000,-176.399999999999980
177,a93.6x-176.4,93.599999999999994,-176.400000000000010,93.5999985,-176.399999999999980
178,a97.2x-176.4,97.200000000000003,-176.400000000000010,97.1999969,-176.399999999999980
179,a100.8x-176.4,100.800000000000000,-176.400000000000010,100.8000031,-176.399999999999980
180,a104.4x-176.4,104.400000000000010,-176.400000000000010,104.4000015,-176.399999999999980
181,a108x-176.4,108.000000000000000,-176.400000000000010,108.0000000,-176.399999999999980
182,a111.6x-176.4,111.599999999999990,-176.400000000000010,111.5999985,-176.399999999999980
183,a115.2x-176.4,115.200000000000000,-176.400000000000010,115.1999969,-176.399999999999980
184,a118.8x-176.4,118.800000000000000,-176.400000000000010,118.8000031,-176.399999999999980
185,a122.4x-176.4,122.400000000000010,-176.400000000000010,122.4000015,-176.399999999999980
186,a126x-176.4,126.000000000000000,-176.400000000000010,126.0000000,-176.399999999999980
