name,page
Abas,40
Abbas Shah,40
Abbo,40
Abbo Neustriae,40
Abbot,40
Abdalrahman,40
Abdalrahman,40
Abelard,40
Abnezra,40
Abibalbus,40
Abijah,40
Abrabinel,40
Abu Bekr,40
Abucaras,40
Abulfeda,40
Abulghazi,41
Abul Pharai,41
Abusaid,41
Abu Temam,41
Abydenus,41
Acca,41
Accius,41
Accursius,41
Achilles Tatius,41
Achillini ,41
Achmet,41
Acron,41
Acropolita G,41
Aquarius J,41
Acusilaus,41
Adado'dawla,41
Addison,41
Ado,41
Adrian,41
Adrian 4th ,41
Aegialeus,41
Aedidius,41
Aelian,41
Aemilian,41
Aemilius,41
Aeneas,41
Aeneas Gazaeus,41
Aeneas Sylvius,41
Aeolus ,41
Aeschines,41
Aeschines,41
Aeschylus,41
Aesculapius,41
Aesop,42
Aesopus,42
Aetius,42
Aetius Amidenus,42
Afer Domitius,42
Afranius,42
Africanus Julius,42
Agamemnon,42
Agathemer,42
Agathias,42
Agathocles,42
Agesilaus,42
Agiluf the Goth,42
Agis,42
Agobard,42
Agricola,42
Agricola George,42
Agricola Rodolphus,42
Agrippa,42
Agrippa Byth,42
Agrippa Cornelius,42
Agrippa Vipsenius,42
Agrippina Junior,42
Ahab,42
Ahaz,42
Ahmed,42
Aidan,42
Ailli,42
Aimoin,42
Akbar,42
Akiba,42
Alain,42
Alakis,42
Alamund,43
Alanus de Insulis,43
Alaric the Goth,43
Alban St.,43
Albani,43
Albategni,43
Albert,43
Albertet,43
Alberoni Card.,43
Alberti Leo Baptista,43
Albertus Magnus,43
Albinus,43
Alboinus the Lombard,43
Albucasis,43
Albumazar,43
Albuquerque,43
Alchabitius,43
Alciat,43
Alcibiades,43
Alcimus Avitus,43
Alcaeus,43
Alcman,43
Alcuinus,43
Aldhelm,43
Aldrovandus,43
Alexander,43
Alexander Severus,43
Alexander Aphrodisiensis,43
Alexander 6th,43
Alexander [Ab] Alexandro,43
Alexander Tralliensis,43
Alexius Comnenus,43
Alfenus Varus,43
Alfragani,44
Alfred,44
Ali,44
Alimentus L. C.,44
Al Kamel,44
Alliacus,44
Almaeon,44
Almamon,44
Al Manfur,44
Al Mochtar,44
Alonzo 6th of Castile,44
Alonzo the great of Castile,44
Alphonsus of Arragon,44
Alphonsus Henriques of Portugal,44
Alredus,44
Alva (John Duke of),44
Amafis,44
Amaziah,44
Ambrose,44
Ambrosius,44
Ambrosius Autpertus,44
Amenophis,44
Amir Yahia,44
Ammianus Marcellinus,44
Ammon,44
Ammonius ,44
Ammonius Grammaticus,44
Ammonius Hermaeaei filius,44
Amos,44
Amosis,44
Ampelius,44
Amphictyon,44
Amru Ebn Al As,44
Anarcharsis,45
