index,cx,cy,dx,dy
a-180x-180,-180,-180,0,0
a-176.4x-180,-176.4,-180,6.1E-06,0
a-172.8x-180,-172.8,-180,-3.1E-06,0
a-169.2x-180,-169.2,-180,3.1E-06,0
a-165.6x-180,-165.6,-180,-6.1E-06,0
a-162x-180,-162,-180,0,0
a-158.4x-180,-158.4,-180,6.1E-06,0
a-154.8x-180,-154.8,-180,-3.1E-06,0
a-151.2x-180,-151.2,-180,3.1E-06,0
a-147.6x-180,-147.6,-180,-6.1E-06,0
a-144x-180,-144,-180,0,0
a-140.4x-180,-140.4,-180,6.1E-06,0
a-136.8x-180,-136.8,-180,-3.1E-06,0
a-133.2x-180,-133.2,-180,3.1E-06,0
a-129.6x-180,-129.6,-180,-6.1E-06,0
a-126x-180,-126,-180,0,0
a-122.4x-180,-122.4,-180,-1.5E-06,0
a-118.8x-180,-118.8,-180,-3.1E-06,0
a-115.2x-180,-115.2,-180,3.1E-06,0
a-111.6x-180,-111.6,-180,1.5E-06,0
a-108x-180,-108,-180,0,0
a-104.4x-180,-104.4,-180,-1.5E-06,0
a-100.8x-180,-100.8,-180,-3.1E-06,0
a-97.2x-180,-97.2,-180,3.1E-06,0
a-93.6x-180,-93.6,-180,1.5E-06,0
a-90x-180,-90,-180,0,0
a-86.4x-180,-86.4,-180,-1.5E-06,0
a-82.8x-180,-82.8,-180,-3.1E-06,0
a-79.2x-180,-79.2,-180,3.1E-06,0
a-75.6x-180,-75.6,-180,1.5E-06,0
a-72x-180,-72,-180,0,0
a-68.4x-180,-68.4,-180,-1.5E-06,0
a-64.8x-180,-64.8,-180,-3.1E-06,0
a-61.2x-180,-61.2,-180,-8E-07,0
a-57.6x-180,-57.6,-180,1.5E-06,0
a-54x-180,-54,-180,0,0
a-50.4x-180,-50.4,-180,-1.5E-06,0
a-46.8x-180,-46.8,-180,8E-07,0
a-43.2x-180,-43.2,-180,-8E-07,0
a-39.6x-180,-39.6,-180,1.5E-06,0
a-36x-180,-36,-180,0,0
a-32.4x-180,-32.4,-180,-1.5E-06,0
a-28.8x-180,-28.8,-180,8E-07,0
a-25.2x-180,-25.2,-180,-8E-07,0
a-21.6x-180,-21.6,-180,-4E-07,0
a-18x-180,-18,-180,0,0
a-14.4x-180,-14.4,-180,4E-07,0
a-10.8x-180,-10.8,-180,-2E-07,0
a-7.2x-180,-7.2,-180,2E-07,0
a-3.6x-180,-3.6,-180,1E-07,0
a0x-180,0,-180,0,0
a3.6x-180,3.6,-180,-1E-07,0
a7.2x-180,7.2,-180,-2E-07,0
a10.8x-180,10.8,-180,2E-07,0
a14.4x-180,14.4,-180,-4E-07,0
a18x-180,18,-180,0,0
a21.6x-180,21.6,-180,4E-07,0
a25.2x-180,25.2,-180,8E-07,0
a28.8x-180,28.8,-180,-8E-07,0
a32.4x-180,32.4,-180,1.5E-06,0
a36x-180,36,-180,0,0
a39.6x-180,39.6,-180,-1.5E-06,0
a43.2x-180,43.2,-180,8E-07,0
a46.8x-180,46.8,-180,-8E-07,0
a50.4x-180,50.4,-180,1.5E-06,0
a54x-180,54,-180,0,0
a57.6x-180,57.6,-180,-1.5E-06,0
a61.2x-180,61.2,-180,8E-07,0
a64.8x-180,64.8,-180,3.1E-06,0
a68.4x-180,68.4,-180,1.5E-06,0
a72x-180,72,-180,0,0
a75.6x-180,75.6,-180,-1.5E-06,0
a79.2x-180,79.2,-180,-3.1E-06,0
a82.8x-180,82.8,-180,3.1E-06,0
a86.4x-180,86.4,-180,1.5E-06,0
a90x-180,90,-180,0,0
a93.6x-180,93.6,-180,-1.5E-06,0
a97.2x-180,97.2,-180,-3.1E-06,0
a100.8x-180,100.8,-180,3.1E-06,0
a104.4x-180,104.4,-180,1.5E-06,0
a108x-180,108,-180,0,0
a111.6x-180,111.6,-180,-1.5E-06,0
a115.2x-180,115.2,-180,-3.1E-06,0
a118.8x-180,118.8,-180,3.1E-06,0
a122.4x-180,122.4,-180,1.5E-06,0
a126x-180,126,-180,0,0
a129.6x-180,129.6,-180,6.1E-06,0
a133.2x-180,133.2,-180,-3.1E-06,0
a136.8x-180,136.8,-180,3.1E-06,0
a140.4x-180,140.4,-180,-6.1E-06,0
a144x-180,144,-180,0,0
a147.6x-180,147.6,-180,6.1E-06,0
a151.2x-180,151.2,-180,-3.1E-06,0
a154.8x-180,154.8,-180,3.1E-06,0
a158.4x-180,158.4,-180,-6.1E-06,0
a162x-180,162,-180,0,0
a165.6x-180,165.6,-180,6.1E-06,0
a169.2x-180,169.2,-180,-3.1E-06,0
a172.8x-180,172.8,-180,3.1E-06,0
a176.4x-180,176.4,-180,-6.1E-06,0
a-180x-176.4,-180,-176.4,0,0
a-176.4x-176.4,-176.4,-176.4,6.1E-06,0
a-172.8x-176.4,-172.8,-176.4,-3.1E-06,0
a-169.2x-176.4,-169.2,-176.4,3.1E-06,0
a-165.6x-176.4,-165.6,-176.4,-6.1E-06,0
a-162x-176.4,-162,-176.4,0,0
a-158.4x-176.4,-158.4,-176.4,6.1E-06,0
a-154.8x-176.4,-154.8,-176.4,-3.1E-06,0
a-151.2x-176.4,-151.2,-176.4,3.1E-06,0
a-147.6x-176.4,-147.6,-176.4,-6.1E-06,0
a-144x-176.4,-144,-176.4,0,0
a-140.4x-176.4,-140.4,-176.4,6.1E-06,0
a-136.8x-176.4,-136.8,-176.4,-3.1E-06,0
a-133.2x-176.4,-133.2,-176.4,3.1E-06,0
a-129.6x-176.4,-129.6,-176.4,-6.1E-06,0
a-126x-176.4,-126,-176.4,0,0
a-122.4x-176.4,-122.4,-176.4,-1.5E-06,0
a-118.8x-176.4,-118.8,-176.4,-3.1E-06,0
a-115.2x-176.4,-115.2,-176.4,3.1E-06,0
a-111.6x-176.4,-111.6,-176.4,1.5E-06,0
a-108x-176.4,-108,-176.4,0,0
a-104.4x-176.4,-104.4,-176.4,-1.5E-06,0
a-100.8x-176.4,-100.8,-176.4,-3.1E-06,0
a-97.2x-176.4,-97.2,-176.4,3.1E-06,0
a-93.6x-176.4,-93.6,-176.4,1.5E-06,0
a-90x-176.4,-90,-176.4,0,0
a-86.4x-176.4,-86.4,-176.4,-1.5E-06,0
a-82.8x-176.4,-82.8,-176.4,-3.1E-06,0
a-79.2x-176.4,-79.2,-176.4,3.1E-06,0
a-75.6x-176.4,-75.6,-176.4,1.5E-06,0
a-72x-176.4,-72,-176.4,0,0
a-68.4x-176.4,-68.4,-176.4,-1.5E-06,0
a-64.8x-176.4,-64.8,-176.4,-3.1E-06,0
a-61.2x-176.4,-61.2,-176.4,-8E-07,0
a-57.6x-176.4,-57.6,-176.4,1.5E-06,0
a-54x-176.4,-54,-176.4,0,0
a-50.4x-176.4,-50.4,-176.4,-1.5E-06,0
a-46.8x-176.4,-46.8,-176.4,8E-07,0
a-43.2x-176.4,-43.2,-176.4,-8E-07,0
a-39.6x-176.4,-39.6,-176.4,1.5E-06,0
a-36x-176.4,-36,-176.4,0,0
a-32.4x-176.4,-32.4,-176.4,-1.5E-06,0
a-28.8x-176.4,-28.8,-176.4,8E-07,0
a-25.2x-176.4,-25.2,-176.4,-8E-07,0
a-21.6x-176.4,-21.6,-176.4,-4E-07,0
a-18x-176.4,-18,-176.4,0,0
a-14.4x-176.4,-14.4,-176.4,4E-07,0
a-10.8x-176.4,-10.8,-176.4,-2E-07,0
a-7.2x-176.4,-7.2,-176.4,2E-07,0
a-3.6x-176.4,-3.6,-176.4,1E-07,0
a0x-176.4,0,-176.4,0,0
a3.6x-176.4,3.6,-176.4,-1E-07,0
a7.2x-176.4,7.2,-176.4,-2E-07,0
a10.8x-176.4,10.8,-176.4,2E-07,0
a14.4x-176.4,14.4,-176.4,-4E-07,0
a18x-176.4,18,-176.4,0,0
a21.6x-176.4,21.6,-176.4,4E-07,0
a25.2x-176.4,25.2,-176.4,8E-07,0
a28.8x-176.4,28.8,-176.4,-8E-07,0
a32.4x-176.4,32.4,-176.4,1.5E-06,0
a36x-176.4,36,-176.4,0,0
a39.6x-176.4,39.6,-176.4,-1.5E-06,0
a43.2x-176.4,43.2,-176.4,8E-07,0
a46.8x-176.4,46.8,-176.4,-8E-07,0
a50.4x-176.4,50.4,-176.4,1.5E-06,0
a54x-176.4,54,-176.4,0,0
a57.6x-176.4,57.6,-176.4,-1.5E-06,0
a61.2x-176.4,61.2,-176.4,8E-07,0
a64.8x-176.4,64.8,-176.4,3.1E-06,0
a68.4x-176.4,68.4,-176.4,1.5E-06,0
a72x-176.4,72,-176.4,0,0
a75.6x-176.4,75.6,-176.4,-1.5E-06,0
a79.2x-176.4,79.2,-176.4,-3.1E-06,0
a82.8x-176.4,82.8,-176.4,3.1E-06,0
a86.4x-176.4,86.4,-176.4,1.5E-06,0
a90x-176.4,90,-176.4,0,0
a93.6x-176.4,93.6,-176.4,-1.5E-06,0
a97.2x-176.4,97.2,-176.4,-3.1E-06,0
a100.8x-176.4,100.8,-176.4,3.1E-06,0
a104.4x-176.4,104.4,-176.4,1.5E-06,0
a108x-176.4,108,-176.4,0,0
a111.6x-176.4,111.6,-176.4,-1.5E-06,0
a115.2x-176.4,115.2,-176.4,-3.1E-06,0
a118.8x-176.4,118.8,-176.4,3.1E-06,0
a122.4x-176.4,122.4,-176.4,1.5E-06,0
a126x-176.4,126,-176.4,0,0
a129.6x-176.4,129.6,-176.4,6.1E-06,0
a133.2x-176.4,133.2,-176.4,-3.1E-06,0
a136.8x-176.4,136.8,-176.4,3.1E-06,0
a140.4x-176.4,140.4,-176.4,-6.1E-06,0
a144x-176.4,144,-176.4,0,0
a147.6x-176.4,147.6,-176.4,6.1E-06,0
a151.2x-176.4,151.2,-176.4,-3.1E-06,0
a154.8x-176.4,154.8,-176.4,3.1E-06,0
a158.4x-176.4,158.4,-176.4,-6.1E-06,0
a162x-176.4,162,-176.4,0,0
a165.6x-176.4,165.6,-176.4,6.1E-06,0
a169.2x-176.4,169.2,-176.4,-3.1E-06,0
a172.8x-176.4,172.8,-176.4,3.1E-06,0
a176.4x-176.4,176.4,-176.4,-6.1E-06,0
a-180x-172.8,-180,-172.8,0,0
a-176.4x-172.8,-176.4,-172.8,6.1E-06,0
a-172.8x-172.8,-172.8,-172.8,-3.1E-06,0
a-169.2x-172.8,-169.2,-172.8,3.1E-06,0
a-165.6x-172.8,-165.6,-172.8,-6.1E-06,0
a-162x-172.8,-162,-172.8,0,0
a-158.4x-172.8,-158.4,-172.8,6.1E-06,0
a-154.8x-172.8,-154.8,-172.8,-3.1E-06,0
a-151.2x-172.8,-151.2,-172.8,3.1E-06,0
a-147.6x-172.8,-147.6,-172.8,-6.1E-06,0
a-144x-172.8,-144,-172.8,0,0
a-140.4x-172.8,-140.4,-172.8,6.1E-06,0
a-136.8x-172.8,-136.8,-172.8,-3.1E-06,0
a-133.2x-172.8,-133.2,-172.8,3.1E-06,0
a-129.6x-172.8,-129.6,-172.8,-6.1E-06,0
a-126x-172.8,-126,-172.8,0,0
a-122.4x-172.8,-122.4,-172.8,-1.5E-06,0
a-118.8x-172.8,-118.8,-172.8,-3.1E-06,0
a-115.2x-172.8,-115.2,-172.8,3.1E-06,0
a-111.6x-172.8,-111.6,-172.8,1.5E-06,0
a-108x-172.8,-108,-172.8,0,0
a-104.4x-172.8,-104.4,-172.8,-1.5E-06,0
a-100.8x-172.8,-100.8,-172.8,-3.1E-06,0
a-97.2x-172.8,-97.2,-172.8,3.1E-06,0
a-93.6x-172.8,-93.6,-172.8,1.5E-06,0
a-90x-172.8,-90,-172.8,0,0
a-86.4x-172.8,-86.4,-172.8,-1.5E-06,0
a-82.8x-172.8,-82.8,-172.8,-3.1E-06,0
a-79.2x-172.8,-79.2,-172.8,3.1E-06,0
a-75.6x-172.8,-75.6,-172.8,1.5E-06,0
