index,cx,cy,dx,dy
a-180x-180,-180,-180,9.99876E-11,9.99876E-11
a-176.4x-180,-176.4,-180,1.00016E-10,9.99876E-11
a-172.8x-180,-172.8,-180,1.00016E-10,9.99876E-11
a-169.2x-180,-169.2,-180,9.99876E-11,9.99876E-11
a-165.6x-180,-165.6,-180,9.99876E-11,9.99876E-11
a-162x-180,-162,-180,9.99876E-11,9.99876E-11
a-158.4x-180,-158.4,-180,1.00016E-10,9.99876E-11
a-154.8x-180,-154.8,-180,1.00016E-10,9.99876E-11
a-151.2x-180,-151.2,-180,9.99876E-11,9.99876E-11
a-147.6x-180,-147.6,-180,9.99876E-11,9.99876E-11
a-144x-180,-144,-180,9.99876E-11,9.99876E-11
a-140.4x-180,-140.4,-180,1.00016E-10,9.99876E-11
a-136.8x-180,-136.8,-180,1.00016E-10,9.99876E-11
a-133.2x-180,-133.2,-180,9.99876E-11,9.99876E-11
a-129.6x-180,-129.6,-180,9.99876E-11,9.99876E-11
a-126x-180,-126,-180,1.00002E-10,9.99876E-11
a-122.4x-180,-122.4,-180,1.00002E-10,9.99876E-11
a-118.8x-180,-118.8,-180,1.00002E-10,9.99876E-11
a-115.2x-180,-115.2,-180,1.00002E-10,9.99876E-11
a-111.6x-180,-111.6,-180,9.99876E-11,9.99876E-11
a-108x-180,-108,-180,1.00002E-10,9.99876E-11
a-104.4x-180,-104.4,-180,1.00002E-10,9.99876E-11
a-100.8x-180,-100.8,-180,1.00002E-10,9.99876E-11
a-97.2x-180,-97.2,-180,1.00002E-10,9.99876E-11
a-93.6x-180,-93.6,-180,9.99876E-11,9.99876E-11
a-90x-180,-90,-180,1.00002E-10,9.99876E-11
a-86.4x-180,-86.4,-180,1.00002E-10,9.99876E-11
a-82.8x-180,-82.8,-180,1.00002E-10,9.99876E-11
a-79.2x-180,-79.2,-180,1.00002E-10,9.99876E-11
a-75.6x-180,-75.6,-180,9.99876E-11,9.99876E-11
a-72x-180,-72,-180,1.00002E-10,9.99876E-11
a-68.4x-180,-68.4,-180,1.00002E-10,9.99876E-11
a-64.8x-180,-64.8,-180,1.00002E-10,9.99876E-11
a-61.2x-180,-61.2,-180,1.00002E-10,9.99876E-11
