index,x,y,dx,dy
a-180x-180,-180,-180,-0.166154071,1.759075074
a-176.4x-180,-176.4,-180,-0.213331422,1.739655067
a-172.8x-180,-172.8,-180,-0.257487767,1.720455562
a-169.2x-180,-169.2,-180,-0.307249182,1.701218365
a-165.6x-180,-165.6,-180,-0.351784951,1.681734375
a-162x-180,-162,-180,-0.403434603,1.662058836
a-158.4x-180,-158.4,-180,-0.449511101,1.641941599
a-154.8x-180,-154.8,-180,-0.50135388,1.621674563
a-151.2x-180,-151.2,-180,-0.548260366,1.600957582
a-147.6x-180,-147.6,-180,-0.599855874,1.579693325
a-144x-180,-144,-180,-0.64837876,1.557791494
a-140.4x-180,-140.4,-180,-0.698758812,1.535247599
a-136.8x-180,-136.8,-180,-0.748323754,1.511885344
a-133.2x-180,-133.2,-180,-0.798349102,1.487854512
a-129.6x-180,-129.6,-180,-0.847815149,1.462782155
a-126x-180,-126,-180,-0.89724063,1.436583485
a-122.4x-180,-122.4,-180,-0.946329144,1.409108155
a-118.8x-180,-118.8,-180,-0.995031208,1.380526054
a-115.2x-180,-115.2,-180,-1.043231332,1.350879536
a-111.6x-180,-111.6,-180,-1.090718144,1.32007109
a-108x-180,-108,-180,-1.13774173,1.288060687
a-104.4x-180,-104.4,-180,-1.183493874,1.254472581
a-100.8x-180,-100.8,-180,-1.229262159,1.219679387
a-97.2x-180,-97.2,-180,-1.272085049,1.183215348
a-93.6x-180,-93.6,-180,-1.316301123,1.145424514
a-90x-180,-90,-180,-1.356825177,1.106804846
a-86.4x-180,-86.4,-180,-1.398143976,1.066626975
a-82.8x-180,-82.8,-180,-1.435659988,1.024129448
a-79.2x-180,-79.2,-180,-1.473404664,0.981756632
a-75.6x-180,-75.6,-180,-1.507832063,0.936384193
a-72x-180,-72,-180,-1.541618086,0.891182112
a-68.4x-180,-68.4,-180,-1.572504933,0.843949648
a-64.8x-180,-64.8,-180,-1.601312078,0.796495713
a-61.2x-180,-61.2,-180,-1.628529207,0.747660571
a-57.6x-180,-57.6,-180,-1.651663712,0.69761445
a-54x-180,-54,-180,-1.673916667,0.646361776
a-50.4x-180,-50.4,-180,-1.692261705,0.594947937
a-46.8x-180,-46.8,-180,-1.70956801,0.544162264
a-43.2x-180,-43.2,-180,-1.721562177,0.491282067
a-39.6x-180,-39.6,-180,-1.732456135,0.439374956
a-36x-180,-36,-180,-1.739789188,0.386458244
a-32.4x-180,-32.4,-180,-1.744114994,0.33347105
a-28.8x-180,-28.8,-180,-1.745213072,0.280481649
a-25.2x-180,-25.2,-180,-1.743647189,0.228128648
a-21.6x-180,-21.6,-180,-1.73918086,0.176559549
a-18x-180,-18,-180,-1.73110402,0.125780586
a-14.4x-180,-14.4,-180,-1.720646653,0.075846134
a-10.8x-180,-10.8,-180,-1.707319795,0.027455333
a-7.2x-180,-7.2,-180,-1.690845906,-0.019888681
a-3.6x-180,-3.6,-180,-1.671566392,-0.066729082
a0x-180,0,-180,-1.650124462,-0.110824126
a3.6x-180,3.6,-180,-1.625807037,-0.153968076
a7.2x-180,7.2,-180,-1.599600051,-0.192363073
a10.8x-180,10.8,-180,-1.56974189,-0.231671136
a14.4x-180,14.4,-180,-1.53963224,-0.268002726
a18x-180,18,-180,-1.50593515,-0.300958507
a21.6x-180,21.6,-180,-1.471415021,-0.331192206
a25.2x-180,25.2,-180,-1.434814117,-0.360080248
a28.8x-180,28.8,-180,-1.396686465,-0.386377164
a32.4x-180,32.4,-180,-1.357865547,-0.40888001
a36x-180,36,-180,-1.316513093,-0.429029051
a39.6x-180,39.6,-180,-1.276464301,-0.446269943
a43.2x-180,43.2,-180,-1.233171633,-0.460957195
a46.8x-180,46.8,-180,-1.1913531,-0.472043249
a50.4x-180,50.4,-180,-1.148217089,-0.480232327
a54x-180,54,-180,-1.104982167,-0.486031171
a57.6x-180,57.6,-180,-1.063162811,-0.489014855
a61.2x-180,61.2,-180,-1.018919008,-0.488248964
a64.8x-180,64.8,-180,-0.978563236,-0.485224826
a68.4x-180,68.4,-180,-0.935650544,-0.479691148
a72x-180,72,-180,-0.895439054,-0.471527792
a75.6x-180,75.6,-180,-0.855335124,-0.460673189
a79.2x-180,79.2,-180,-0.815612258,-0.447345535
a82.8x-180,82.8,-180,-0.77934896,-0.431928811
a86.4x-180,86.4,-180,-0.740485035,-0.414218961
a90x-180,90,-180,-0.707940249,-0.394031676
a93.6x-180,93.6,-180,-0.672738339,-0.371488159
a97.2x-180,97.2,-180,-0.641665312,-0.347687663
a100.8x-180,100.8,-180,-0.611469022,-0.322214125
a104.4x-180,104.4,-180,-0.58180524,-0.294284321
a108x-180,108,-180,-0.557422151,-0.265925812
a111.6x-180,111.6,-180,-0.5294509,-0.236045064
a115.2x-180,115.2,-180,-0.509802521,-0.204967519
a118.8x-180,118.8,-180,-0.485600523,-0.172657519
a122.4x-180,122.4,-180,-0.468433824,-0.138932903
a126x-180,126,-180,-0.449940321,-0.105405677
a129.6x-180,129.6,-180,-0.434325456,-0.070545825
a133.2x-180,133.2,-180,-0.422639815,-0.034207153
a136.8x-180,136.8,-180,-0.407081464,0.002436576
a140.4x-180,140.4,-180,-0.400339778,0.039177554
a144x-180,144,-180,-0.387130174,0.075742956
a147.6x-180,147.6,-180,-0.384768,0.113278718
a151.2x-180,151.2,-180,-0.375739961,0.15090224
a154.8x-180,154.8,-180,-0.373175038,0.18863908
a158.4x-180,158.4,-180,-0.36989405,0.226457829
a162x-180,162,-180,-0.367508084,0.264206748
a165.6x-180,165.6,-180,-0.369689837,0.301920589
a169.2x-180,169.2,-180,-0.366320539,0.340306803
a172.8x-180,172.8,-180,-0.371725985,0.379132425
a176.4x-180,176.4,-180,-0.368226797,0.417910788
a-180x-176.4,-180,-176.4,-0.18552747,1.789361217
a-176.4x-176.4,-176.4,-176.4,-0.232545536,1.770919138
a-172.8x-176.4,-172.8,-176.4,-0.276754573,1.752405847
a-169.2x-176.4,-169.2,-176.4,-0.326473219,1.733865392
a-165.6x-176.4,-165.6,-176.4,-0.371388895,1.714971513
a-162x-176.4,-162,-176.4,-0.423103966,1.695823138
a-158.4x-176.4,-158.4,-176.4,-0.469741769,1.676275362
a-154.8x-176.4,-154.8,-176.4,-0.522025602,1.6562016
a-151.2x-176.4,-151.2,-176.4,-0.569394156,1.635624869
a-147.6x-176.4,-147.6,-176.4,-0.621641972,1.614601864
a-144x-176.4,-144,-176.4,-0.670779741,1.592756541
a-140.4x-176.4,-140.4,-176.4,-0.72192291,1.570103734
a-136.8x-176.4,-136.8,-176.4,-0.772298419,1.546607808
a-133.2x-176.4,-133.2,-176.4,-0.823239867,1.522128468
a-129.6x-176.4,-129.6,-176.4,-0.873715724,1.496637771
a-126x-176.4,-126,-176.4,-0.924387025,1.470178901
a-122.4x-176.4,-122.4,-176.4,-0.974677403,1.442146989
a-118.8x-176.4,-118.8,-176.4,-1.024508587,1.412896296
a-115.2x-176.4,-115.2,-176.4,-1.073825793,1.382402058
a-111.6x-176.4,-111.6,-176.4,-1.122671694,1.350704402
a-108x-176.4,-108,-176.4,-1.170975302,1.31711681
a-104.4x-176.4,-104.4,-176.4,-1.218182623,1.282503231
a-100.8x-176.4,-100.8,-176.4,-1.265403454,1.246430758
a-97.2x-176.4,-97.2,-176.4,-1.309812629,1.208978789
a-93.6x-176.4,-93.6,-176.4,-1.355258893,1.169708698
a-90x-176.4,-90,-176.4,-1.396948618,1.12901325
a-86.4x-176.4,-86.4,-176.4,-1.439933019,1.086955139
a-82.8x-176.4,-82.8,-176.4,-1.47892538,1.04349385
a-79.2x-176.4,-79.2,-176.4,-1.517913992,0.997632259
a-75.6x-176.4,-75.6,-176.4,-1.553403459,0.951925458
a-72x-176.4,-72,-176.4,-1.58882027,0.903781873
a-68.4x-176.4,-68.4,-176.4,-1.620669188,0.855093594
a-64.8x-176.4,-64.8,-176.4,-1.650517929,0.804427201
a-61.2x-176.4,-61.2,-176.4,-1.678384414,0.753109389
a-57.6x-176.4,-57.6,-176.4,-1.703101162,0.700685124
a-54x-176.4,-54,-176.4,-1.726028199,0.6472377
a-50.4x-176.4,-50.4,-176.4,-1.744425572,0.593595592
a-46.8x-176.4,-46.8,-176.4,-1.762640549,0.53828159
a-43.2x-176.4,-43.2,-176.4,-1.775010226,0.484276006
a-39.6x-176.4,-39.6,-176.4,-1.786008111,0.428220516
a-36x-176.4,-36,-176.4,-1.793164023,0.373079586
a-32.4x-176.4,-32.4,-176.4,-1.797773039,0.31751837
a-28.8x-176.4,-28.8,-176.4,-1.798384464,0.262131788
a-25.2x-176.4,-25.2,-176.4,-1.79637414,0.20710704
a-21.6x-176.4,-21.6,-176.4,-1.791250043,0.153333504
a-18x-176.4,-18,-176.4,-1.782367046,0.100023283
a-14.4x-176.4,-14.4,-176.4,-1.770732467,0.047623601
a-10.8x-176.4,-10.8,-176.4,-1.755976148,-0.003997046
a-7.2x-176.4,-7.2,-176.4,-1.738209527,-0.054076412
a-3.6x-176.4,-3.6,-176.4,-1.71743072,-0.102173192
a0x-176.4,0,-176.4,-1.694212096,-0.148916197
a3.6x-176.4,3.6,-176.4,-1.667934066,-0.192772406
