OBJECTID,index,cx,cy,dx,dy,newX,newY
1,a-176.4x-86.4,-176.4,-86.4,1.3776184,-0.2633957,-177.7776184,-86.1366043
2,a-172.8x-86.4,-172.8,-86.4,1.4404938,-0.2718491,-174.2404938,-86.1281509
3,a-169.2x-86.4,-169.2,-86.4,1.5044373,-0.2803558,-170.7044373,-86.1196442
4,a-165.6x-86.4,-165.6,-86.4,1.5693268,-0.2888855,-167.1693268,-86.1111145
5,a-162x-86.4,-162,-86.4,1.6351166,-0.2974228,-163.6351166,-86.1025772
6,a-158.4x-86.4,-158.4,-86.4,1.7017914,-0.3059601,-160.1017914,-86.0940399
7,a-154.8x-86.4,-154.8,-86.4,1.7693512,-0.3145203,-156.5693512,-86.0854797
8,a-151.2x-86.4,-151.2,-86.4,1.8377655,-0.3230957,-153.0377655,-86.0769043
9,a-147.6x-86.4,-147.6,-86.4,1.907019,-0.3317017,-149.507019,-86.0682983
10,a-144x-86.4,-144,-86.4,1.9772949,-0.3403839,-145.9772949,-86.0596161
11,a-140.4x-86.4,-140.4,-86.4,2.0484406,-0.3491806,-142.4484406,-86.0508194
12,a-136.8x-86.4,-136.8,-86.4,2.1204559,-0.3581528,-138.9204559,-86.0418472
13,a-133.2x-86.4,-133.2,-86.4,2.1934174,-0.3673386,-135.3934174,-86.0326614
14,a-129.6x-86.4,-129.6,-86.4,2.2673706,-0.3768219,-131.8673706,-86.0231781
15,a-126x-86.4,-126,-86.4,2.3424225,-0.3866409,-128.3424225,-86.0133591
16,a-122.4x-86.4,-122.4,-86.4,2.4187637,-0.3968567,-124.8187637,-86.0031433
17,a-118.8x-86.4,-118.8,-86.4,2.4969055,-0.4075989,-121.2969055,-85.9924011
18,a-115.2x-86.4,-115.2,-86.4,2.5769241,-0.4187378,-117.7769241,-85.9812622
19,a-111.6x-86.4,-111.6,-86.4,2.659201,-0.4301666,-114.259201,-85.9698334
20,a-108x-86.4,-108,-86.4,2.7442017,-0.4416489,-110.7442017,-85.9583511
21,a-104.4x-86.4,-104.4,-86.4,2.8324371,-0.4528183,-107.2324371,-85.9471817
22,a-100.8x-86.4,-100.8,-86.4,2.924472,-0.4630875,-103.724472,-85.9369125
23,a-97.2x-86.4,-97.2,-86.4,3.0211838,-0.4715027,-100.2211838,-85.9284973
24,a-93.6x-86.4,-93.6,-86.4,3.1237473,-0.4760727,-96.7237473,-85.9239273
25,a-90x-86.4,-90,-86.4,3.2316589,-0.4752563,-93.2316589,-85.9247437
26,a-86.4x-86.4,-86.4,-86.4,3.3446671,-0.4668411,-89.7446671,-85.9331589
27,a-82.8x-86.4,-82.8,-86.4,3.4619247,-0.4484543,-86.2619247,-85.9515457
28,a-79.2x-86.4,-79.2,-86.4,3.5818909,-0.417662,-82.7818909,-85.982338
29,a-75.6x-86.4,-75.6,-86.4,3.7022842,-0.3722214,-79.3022842,-86.0277786
30,a-72x-86.4,-72,-86.4,3.8193359,-0.3086533,-75.8193359,-86.0913467
31,a-68.4x-86.4,-68.4,-86.4,3.9277435,-0.225676,-72.3277435,-86.174324
32,a-64.8x-86.4,-64.8,-86.4,4.0240356,-0.1258606,-68.8240356,-86.2741394
