place_name,index_section,index_text,placeID
Canada,Canada,"John Verrazen took possession of Canada, in the name of the king of France, in 1525. The French attempted to settle it in 1534, and in 1608 Mr. Champlain built Quebec; but the whole country was conquered by the English in 1759, and  it was confirmed to them by the peace in 1763. AFTER this chart was drawn, and sent to the Engraver, another was published, under the Title of “ARTIFICIAL MEMORY,” by Mess. Balfour and Bell, on which I have just time to make the following cursory remarks. These gentlemen have remedied the inconvenience of using different scales, or measures of time, which was, undoubtedly, a great objection to the French Chart; but in order to do this, they have drawn out their Chart to the inconvenient length of more than five feet. They have also been more careful to make their lines correspond to the dates, in which the other Chart is most shamefully inaccurate; but in every other respect I cannot help thinking it much inferior to the French Chart.",1.01
Nova Scotia,Nova Scotia,"Sir William Alexander settled in Nova Scotia in 1622, but  it was surrendered to the French by Charles I, on the family alliance between him and that court in 1632. It was recovered by major Sedwick under Cromwell, in 1654, delivered again to the French by Charles II, in 1662, recovered by Sir William Phipps in 1690, ceded to France at the peace of Riswick in 1697, but conquered again by the English in 1710, and confirmed to them by the treaty of Utrecht in 1714. Afterwards, in conjunction with the Indians, the French gave great disturbance to the English settlers in this country, but their possession was again confirmed by the treaty of Aix-la-Chapelle in 1748.",1.02
New England and New York,New England and New York,"New England was first settled in 1614 by the Plymouth company, who left the crew of a single ship on the coast to trade. In 1620 some Dissenters, being persecuted at home, fled to this country, and having purchased the Plymouth patent, built New Plymouth. In 1628 they built Salem, and in 1630 they built Boston, which is now the chief town in the province.

Part of New York was settled by the Dutch in 1608. Soon after the Swedes arrived, and took possession of another part; but they were all dispossessed by the English in 1664.",1.03
Pennsylvania Maryland and Virginia,Pennsylvania Maryland and Virginia,"Pennsylvania was first planted by William Penn, the famous Quaker, in 1681.

Maryland was first planted by Lord Baltimore in 1633

The first attempt that was made by the English to settle in North America was in Virginia, in 1607, when James-Town was built, but all the sea-coast  had been discovered by Seb. Cabot in 1497. ",1.04
Carolina and Georgia,Carolina and Georgia,"Carolina was first settled by the English in 1670

Georgia was first planted by general Oglethorpe in 1732",1.05
Florida,Florida,"Florida was possessed by the Spaniards immediately after the conquest of Mexico in 1521, but it was ceded to the English at the peace in 1763; one part of it was again conquered by the Spaniards, and the rest was ceded to them in 1783.",1.06
Louisiana,Louisiana,"Louisiana was discovered by the French in 1633. In 1718 they took possession of it under DeLe Sale; but as much of it as lies to the east of the river Mississippi was relinquished to the English at the peace in 1763, and ceded to the Spaniards in 1783.",1.07
Mexico,Mexico,"Mexico was brought into subjection to Spain in 1521 by the famous Cortez, who conquered Montezuma the ninth emperor, so that the empire was probably founded about 1340",1.08
Chili,Chili,"Chili, which is a continuation of the coast of Peru, was conquered by Baldivia, a Spanish general under Almagro, in 1540.",1.09
Peru,Peru,"Peru was conquered for Spain by Francis Pizarro in 1532, in the reign of Huascar, the 13th Inca from Mango Capac the civilizer of this country, and the founder of the state, probably about 1270. Chili, which is a continuation of the coast of Peru, was conquered by Baldivia, a Spanish general under Almagro, in 1540.",1.1
Terra Firma,Terra Firma,"Terra Firma, from Darien to Nicaragua, was conquered for the Spaniards by Pedrarias, in 1514; and the rest of this country, extending as far as the river Oronoque, was reduced by private adventurers not long after.",1.11
Brasil,Brasil,"Brasil was discovered by the Portuguese in 1500, and planted by them in 1549. In 1623 the Portuguese, being under the dominion of Spain, the Dutch possessed themselves of the northern provinces, but they were expelled in the year 1664.",1.12
Morocco,"Mauretania, or Morocco","The first inhabitants of this country are supposed to have been descended from Phut, but colonies of Phoenicians were soon after intermixed with them. This, and all the northern coast of Africa, was conquered by Sesac, king of Egypt, in the life-time of his father Ammon, about 1008 B.C. but he did not retain the conquest. Mauretania was disposed of by the Romans from the time of Augustus, about 25 B.C. but was not made a Roman province till under Claudius, about 50 after Christ. After this it underwent the revolutions of Tunis, till the establishment of the Almoravides; and Yusef, the second emperor of this race, built Morocco, the capital of the empire. About 1116, a period was put to the empire of the Almoravides by Abdalla, a famous preacher in a tribe settled near mount Atlas, and who founded the empire of the Almohedes, which terminated in 1212, their last king being totally defeated in Spain. Upon this event the provinces of the empire revolted, and particularly Tremecen and Fez became separate and independent kingdoms. Morocco was seized by the kings of Fez, but about 1516 this kingdom was seized by the sons of Haschen, who pretended to be of the race of the Shariffs, or the descendants of Mohammed. About 1550 the princes of this race took Fez and Tremecen, which continue parts of the empire of Morocco to this day.",2.01
Tremecen,Tremecen,"This country underwent all the revolutions of Algiers, till after the conquest of all this part of Africa by the Saracens, when the inhabitants shook off the yoke, and formed a new government, which grew very considerable for its riches, and the splendor of its kings; but it was greatly reduced by the Almoravides, and finally conquered by Yusef king of Morocco in 1100. A period being put to the empire of the Almoravides about 1116, it again became independent, but was again reduced by the emperor of Morocco about 1172; but on the decline of the Almohedes in 1212, Ghamrazen recovered the kingdom out of their hands, and tho’ it was besieged and taken by Abul Hassan, the fourth king of Fez, the crown continued in the same family about 120 years, without any considerable alteration, except that the kings of Fez became for a time tributary to Abu Ferez king of Tunis, and his son. At length, the last king being slain by Barbarossa the Turkish pirate, about 1516, this state was united to Algiers.",2.02
Algiers,Algiers,"This territory was, in a great measure, the antient kingdom of Numidia, in which some colonies of Phoenicians settled, about 300 B.C. It was reduced to a Roman province by Julius Caesar, about 44 B.C. and underwent the revolutions mentioned in the preceding article, till about 1206; in the decline of the power of the Almohedes, this country, probably, became independent, at the same time with Fez and Tremecen, Tunis, and Tripoli. Being alarmed with an invasion of the Spaniards in 1516, the people of Algiers invited the Turkish pirate Barbarossa to assist them, but he seized the government himself, and they have since been in some kind of dependence on the Turks, at least under their protection.",2.03
Tunis,Tunis,"This city stands not far from the place where stood antient Carthage, a city built by Dido, who brought a colony of Tyrians hither in 883 B.C. The Carthaginian republick soon grew formidable to all its neighbours, and extended its commerce and empire; till, clashing with the Romans, it was entirely destroyed by them at the conclusion of the third Punic war in 148 B.C. It continued a part of the Roman empire till 439, when it was taken by Genseric the Vandal, whose posterity possessed it till 534, when it was recovered by Belisarius. In 644 the Saracens conquered this, together with the rest of the African coast; and in 910 Obeidallah Al Mohdi drove out the reigning family, called the Aglabites, and founded the Fatemite dynasty, residing at Cairwan in this district. In 952 Al Moez removed the seat of empire from Cairwan into Egypt; but in 1051 the Africans revolted from the Arabs, under the conduct of Techesien of the Zenhagian tribe, bringing an army from the southern provinces of Numidia and Lybia, on which account they were surnamed Morabites, or Almoravides. The emperor of this family resided at Morocco, and Tunis continued subject to him, till the dissolution of the dynasty of the Almoravides by the Almohedes, in about 1116, when it became independent, but was reduced by the emperor of Morocco in 1172. About 1206 Abu Ferez,  governor of Tunis and Tripoli, revolted from the emperor of Morocco. This kingdom, however, was reduced by Selim II, emperor of the Turks, in 1574; but in 1590 the inhabitants got leave to elect their own bey, or governor, as was done at Algiers, but they still, in some measure, acknowledge the supremacy of the court of Constantinople.",2.04
Tripoli,Tripoli,"This territory, which was antiently called Lybia Tripolitana, underwent the revolutions of Tunis, which are recited below, having been conquered by the Carthaginians long before their wars with the Romans. In 1551 it was conquered by Dragut the famous Turkish pirate, in the reign of Solyman I. Some time after, perhaps about 1600, the Tripolitans became independent of the Turks, in the same manner as the people of Algiers and Tunis.",2.05
Egypt (lower Nile),Egypt,"This is one of the oldest kingdoms in the world, and here the children of Israel were held in slavery from the death of Joseph in 1635 B.C. to 1491B.C. In 1445 Lower Egypt was conquered by the Canaanites, who fled from Joshua, when he dispossessed them of their own country. Upper Egypt was divided at this time into a great number of kingdoms, which were united under Misphragmuthosis, about 1157, and the Canaanites, or shepherd kings, as they are called, were driven out of Egypt by Amosis in 1070. About 1000 Sesac, or Sesostris, king of Egypt, made rapid and extensive conquests, carrying his arms as far as Spain, but he did not keep possession of any of the conquered countries. In 974 he, in the like manner, took and plundered Palestine, Syria, and Persia. In 947 the Ethiopians conquered Egypt; in 944 they retired to Memphis, being driven thither by Osarsiphus, who was made king of Lower Egypt; but in 930 the Ethiopians again conquered the whole. In 788 Egypt was divided into several small kingdoms, and in 751 Sabacon the Ethiopian conquered it. In 671 it was subdued by Asserhaddon king of Assyria, but in 668 it revolted from the Assyrians. In 655 Psammeticus became king of all Egypt, by the reduction of eleven other princes, who had reigned along with him. Nebuchadnezzar king of Babylon conquered this country in 566, but towards the end of this monarchy the Egyptians recovered their liberty. They seem to have been subject to Cyrus about 534, but, probably rebelling, were reduced by Cambyses in 525; and though Egypt several times revolted, it was always recovered by the Persians, and was part of that empire when Alexander the Great put an end to it in 331 B.C. In 30 B.C. it was reduced to a Roman province, and continued a part of the Roman empire, till it was conquered by the Saracens in 640. In 868 Al Tolun, the son of Ahmed, a Turkish slave, being entrusted by the caliph of Bagdat with the government of Egypt and Syria, set up for himself, and maintained his authority not with standing all attempts to depose him; but in 904, Mahomet, general of the caliph Al Moctafi, recovered Egypt to the caliphat, the last caliph of Egypt having assassinated his predecessor, and thereby rendered himself very odious. However, in the year 933, Mahomet, the son of Tagii, surnamed Al Ashked, seized upon Syria and Egypt, in the caliphat of Al Radi, and his family retained the whole of it, except a small part of which Obeidallah Al Mohdi, the first of the Fatemite dynasty (the seat of whose empire was at Cairwan near Tunis) had conquered in 910. His successor Abu Temin Mahud, surnamed Moez Ledinillah, conquered the rest of Egypt about 970, by his general Jaawar, who built the city Al Kahirah, commonly called Grand Cairo, whither his master soon removed his court. The Fatemite dynasty expired in 1176, when, upon the death of the last prince of this family, the kingdom was usurped by the famous Saladin, who had been his vizir, and who began the dynasty of the Ajubites. In 1245 the Mamluks, who were Tartar soldiers employed by the princes of this family, seized the kingdom, and held it till they were conquered by Selim I, emperor of the Turks, in 1517.",2.06
Egypt (upper Nile),Egypt,"This is one of the oldest kingdoms in the world, and here the children of Israel were held in slavery from the death of Joseph in 1635 B.C. to 1491B.C. In 1445 Lower Egypt was conquered by the Canaanites, who fled from Joshua, when he dispossessed them of their own country. Upper Egypt was divided at this time into a great number of kingdoms, which were united under Misphragmuthosis, about 1157, and the Canaanites, or shepherd kings, as they are called, were driven out of Egypt by Amosis in 1070. About 1000 Sesac, or Sesostris, king of Egypt, made rapid and extensive conquests, carrying his arms as far as Spain, but he did not keep possession of any of the conquered countries. In 974 he, in the like manner, took and plundered Palestine, Syria, and Persia. In 947 the Ethiopians conquered Egypt; in 944 they retired to Memphis, being driven thither by Osarsiphus, who was made king of Lower Egypt; but in 930 the Ethiopians again conquered the whole. In 788 Egypt was divided into several small kingdoms, and in 751 Sabacon the Ethiopian conquered it. In 671 it was subdued by Asserhaddon king of Assyria, but in 668 it revolted from the Assyrians. In 655 Psammeticus became king of all Egypt, by the reduction of eleven other princes, who had reigned along with him. Nebuchadnezzar king of Babylon conquered this country in 566, but towards the end of this monarchy the Egyptians recovered their liberty. They seem to have been subject to Cyrus about 534, but, probably rebelling, were reduced by Cambyses in 525; and though Egypt several times revolted, it was always recovered by the Persians, and was part of that empire when Alexander the Great put an end to it in 331 B.C. In 30 B.C. it was reduced to a Roman province, and continued a part of the Roman empire, till it was conquered by the Saracens in 640. In 868 Al Tolun, the son of Ahmed, a Turkish slave, being entrusted by the caliph of Bagdat with the government of Egypt and Syria, set up for himself, and maintained his authority not with standing all attempts to depose him; but in 904, Mahomet, general of the caliph Al Moctafi, recovered Egypt to the caliphat, the last caliph of Egypt having assassinated his predecessor, and thereby rendered himself very odious. However, in the year 933, Mahomet, the son of Tagii, surnamed Al Ashked, seized upon Syria and Egypt, in the caliphat of Al Radi, and his family retained the whole of it, except a small part of which Obeidallah Al Mohdi, the first of the Fatemite dynasty (the seat of whose empire was at Cairwan near Tunis) had conquered in 910. His successor Abu Temin Mahud, surnamed Moez Ledinillah, conquered the rest of Egypt about 970, by his general Jaawar, who built the city Al Kahirah, commonly called Grand Cairo, whither his master soon removed his court. The Fatemite dynasty expired in 1176, when, upon the death of the last prince of this family, the kingdom was usurped by the famous Saladin, who had been his vizir, and who began the dynasty of the Ajubites. In 1245 the Mamluks, who were Tartar soldiers employed by the princes of this family, seized the kingdom, and held it till they were conquered by Selim I, emperor of the Turks, in 1517.",2.07
